pattern,complexity_response,beauty_response,rt,is_repeated,trial
204,37,25,6695,False,1
214,46,37,4644,False,2
179,17,32,2955,False,3
195,12,10,2614,True,4
178,7,3,3005,False,5
205,83,81,2955,False,6
212,49,60,4843,False,7
186,40,42,2723,False,8
165,90,96,2887,False,9
196,76,75,3805,False,10
207,51,58,2793,False,11
177,22,16,3235,False,12
174,32,42,2553,False,13
206,60,54,3335,True,14
208,50,51,2719,True,15
170,11,16,2931,False,16
182,45,33,2631,False,17
167,66,56,5433,False,18
194,46,47,2507,False,19
210,40,43,2274,False,20
208,61,65,3858,True,21
169,31,32,2749,False,22
200,49,47,2117,False,23
213,38,45,2827,True,24
203,4,5,3131,False,25
183,36,37,2339,False,26
215,10,5,2539,False,27
189,46,45,2419,False,28
206,24,28,1823,True,29
191,93,92,3291,False,30
198,45,53,3105,False,31
197,1,7,3039,True,32
184,40,40,4539,False,33
195,27,34,2025,True,34
166,2,4,3616,False,35
213,39,28,2881,True,36
172,10,26,2875,False,37
188,17,17,2795,False,38
181,7,10,2493,False,39
175,4,5,2379,False,40
185,7,11,58777,False,41
197,13,13,3287,True,42
171,10,5,15179,False,43
176,7,6,6529,False,44
193,6,7,2711,False,45
202,3,3,2075,False,46
216,28,37,1931,False,47
163,24,21,2817,False,48
168,4,7,2427,True,49
192,30,25,2321,False,50
164,6,11,2363,False,51
201,6,12,9067,False,52
209,10,14,2629,False,53
199,30,18,2687,False,54
190,26,29,2597,False,55
211,16,18,2153,False,56
187,45,39,1945,False,57
173,28,27,2495,False,58
168,4,7,2265,True,59
180,5,6,2355,False,60
