pattern,complexity_response,beauty_response,rt,is_repeated,trial
37,67,66,19959,False,1
13,7,7,6069,True,2
5,19,54,12582,False,3
47,82,82,15279,False,4
12,17,44,42150,False,5
11,14,43,11727,True,6
9,6,6,8742,False,7
44,79,97,9271,False,8
53,79,84,8878,False,9
20,24,57,15101,False,10
8,20,16,10695,False,11
51,70,67,11902,False,12
46,62,71,5391,False,13
23,37,59,6023,False,14
3,93,93,15574,False,15
19,30,31,56895,False,16
48,79,82,8191,False,17
41,31,31,32535,False,18
36,63,80,11271,False,19
49,84,87,12558,False,20
27,12,43,9111,False,21
17,32,58,10414,True,22
1,19,19,17654,False,23
32,43,71,8303,False,24
11,20,58,10630,True,25
21,21,59,12806,False,26
42,40,49,27063,False,27
10,9,16,7047,False,28
25,16,28,13319,True,29
30,33,59,15926,True,30
4,10,29,13327,False,31
39,46,61,10847,False,32
7,10,72,9454,False,33
40,56,81,13751,False,34
2,72,72,14639,False,35
6,7,42,9430,False,36
22,22,42,10879,False,37
14,26,43,12319,False,38
26,30,58,69903,False,39
28,60,74,8559,True,40
29,50,59,16287,False,41
35,66,75,12079,False,42
33,52,62,10534,False,43
25,13,21,9071,True,44
45,83,89,11903,False,45
38,67,77,7719,False,46
43,16,25,10247,False,47
34,80,84,7910,False,48
16,62,72,14095,False,49
52,77,79,61991,False,50
13,4,5,14311,True,51
31,67,73,9743,False,52
18,25,45,12271,False,53
30,59,65,12215,True,54
24,48,57,9815,False,55
50,77,81,9119,False,56
15,22,59,11983,False,57
54,75,82,6471,False,58
17,53,60,14983,True,59
28,60,66,9119,True,60
