pattern,complexity_response,beauty_response,rt,is_repeated,trial
171,22,33,18899,False,1
202,49,49,8237,False,2
175,14,20,5212,False,3
208,50,50,5728,False,4
181,29,64,7319,True,5
214,62,63,5168,False,6
203,50,51,5752,False,7
205,62,62,4683,True,8
198,74,74,5540,True,9
195,73,71,4796,False,10
173,65,66,5434,False,11
176,35,59,8335,False,12
174,64,70,4180,False,13
166,13,51,5051,False,14
182,62,68,5169,False,15
164,86,84,10779,True,16
180,26,63,4425,False,17
165,82,82,5033,True,18
201,73,73,6086,True,19
184,28,49,4793,False,20
185,31,63,5894,False,21
198,64,64,5049,True,22
177,22,50,5014,False,23
200,64,63,4733,False,24
164,86,86,4404,True,25
209,62,72,7257,False,26
165,85,83,6992,True,27
216,51,69,5879,False,28
194,39,60,5002,False,29
191,13,63,5544,False,30
167,19,70,6184,False,31
183,55,83,6569,False,32
189,36,65,5033,False,33
201,67,71,9591,True,34
211,67,66,3453,False,35
168,10,60,3828,False,36
172,32,71,5905,False,37
179,53,67,6416,False,38
169,32,64,4578,False,39
215,70,89,6040,False,40
210,40,51,9113,False,41
207,64,70,8123,False,42
187,58,58,4877,False,43
192,67,78,5874,False,44
193,22,73,4522,False,45
170,20,75,4921,False,46
163,10,33,7294,False,47
196,51,57,4720,False,48
212,66,91,5571,False,49
204,74,74,7198,False,50
188,60,77,8735,False,51
199,64,64,5854,False,52
213,80,82,5412,False,53
190,62,65,9624,False,54
186,25,69,7199,False,55
181,48,89,7782,True,56
206,50,74,4816,False,57
197,6,31,10106,False,58
178,27,71,15148,False,59
205,61,86,6366,True,60
