pattern,complexity_response,beauty_response,rt,is_repeated,trial
105,39,30,19535,False,1
64,13,6,8899,False,2
102,20,20,21177,False,3
74,16,20,8847,False,4
63,20,21,12881,False,5
99,72,71,9268,True,6
82,19,20,9081,False,7
101,70,69,9184,False,8
103,62,65,9461,True,9
107,75,82,7440,False,10
80,19,19,7379,True,11
83,50,49,11370,False,12
68,67,65,13287,False,13
81,77,76,8389,False,14
66,49,82,8378,False,15
84,49,75,7816,False,16
85,22,25,12926,True,17
61,49,48,7529,False,18
73,51,52,8548,False,19
91,71,78,17569,False,20
65,73,75,10764,False,21
90,76,75,7189,False,22
104,89,93,6556,False,23
59,86,88,6548,False,24
88,27,29,9792,False,25
75,93,92,10154,True,26
80,15,18,7810,True,27
96,85,85,13987,False,28
75,97,98,6493,True,29
108,84,83,10701,False,30
86,82,81,8998,False,31
67,48,48,7459,False,32
60,92,94,6887,False,33
94,89,88,6992,False,34
89,80,79,7612,False,35
93,81,82,6367,False,36
98,54,55,10918,False,37
62,17,18,7080,True,38
56,86,85,6428,False,39
79,80,81,10522,False,40
76,98,97,6948,False,41
78,4,6,8104,False,42
87,25,27,7460,False,43
92,48,49,7802,False,44
97,48,50,6902,False,45
106,84,83,6536,False,46
77,86,85,8469,False,47
103,51,52,7794,True,48
71,92,93,7032,False,49
72,71,71,7372,False,50
58,19,20,6832,False,51
57,89,88,7285,False,52
100,83,83,6855,False,53
99,97,96,7942,True,54
95,78,77,8042,False,55
70,53,55,5882,False,56
69,85,85,6606,False,57
85,50,51,7170,True,58
62,19,21,7386,True,59
55,97,95,6753,False,60
