pattern,complexity_response,beauty_response,rt,is_repeated,trial
18,51,51,13661,False,1
28,43,50,5454,True,2
27,51,63,4657,False,3
6,13,14,4650,False,4
4,0,1,15313,False,5
22,35,37,5773,False,6
46,66,76,5515,True,7
44,87,85,5179,False,8
8,0,0,8323,False,9
13,24,34,6435,True,10
7,24,17,5743,False,11
54,97,100,5343,False,12
26,72,72,4801,False,13
47,86,89,5519,False,14
33,53,56,5986,False,15
39,72,70,5796,False,16
16,49,53,6787,False,17
28,36,42,10841,True,18
20,48,51,11181,False,19
34,68,71,33144,False,20
31,58,55,6613,False,21
36,64,68,15274,True,22
45,24,37,4767,False,23
9,4,6,4879,False,24
46,18,23,8181,True,25
38,21,24,5606,False,26
10,6,6,4361,False,27
2,74,70,11700,False,28
30,65,63,8788,False,29
35,52,56,6822,False,30
21,42,40,5845,False,31
41,50,64,28933,False,32
14,11,15,5225,False,33
23,21,24,4992,False,34
49,73,74,6144,False,35
12,39,35,22694,False,36
51,26,32,9838,False,37
42,69,77,14328,False,38
11,31,36,10200,False,39
5,16,22,12616,False,40
43,16,25,9503,False,41
36,55,60,7869,True,42
53,93,94,12183,True,43
50,68,73,7919,False,44
13,10,16,4577,True,45
29,77,86,14277,True,46
40,94,99,5275,False,47
32,72,79,4554,False,48
25,9,17,4137,False,49
37,27,35,5442,False,50
15,15,23,4957,False,51
24,4,5,4507,False,52
53,81,86,55625,True,53
1,5,9,4826,False,54
17,16,19,5357,False,55
3,82,85,16383,False,56
52,89,92,4909,False,57
19,39,43,3989,False,58
29,63,59,5873,True,59
48,59,67,5220,False,60
