pattern,complexity_response,beauty_response,rt,is_repeated,trial
49,100,100,7822,False,1
24,100,100,5408,False,2
12,6,6,7379,True,3
51,70,68,10117,False,4
54,63,63,9835,True,5
3,94,92,4786,False,6
22,41,19,5265,False,7
31,54,25,9141,False,8
11,17,18,3464,False,9
4,0,0,4082,False,10
18,100,100,4570,False,11
46,100,100,4809,True,12
26,69,68,8404,False,13
2,32,34,8998,False,14
50,100,71,9196,False,15
12,0,0,3938,True,16
5,34,18,8643,False,17
52,42,43,52703,False,18
21,9,0,7532,False,19
35,38,38,4184,False,20
48,25,26,7059,False,21
44,100,100,5538,False,22
20,67,69,5300,False,23
29,66,66,4049,False,24
36,100,100,3290,False,25
33,14,15,4322,False,26
17,81,83,3648,False,27
53,19,19,6187,False,28
38,62,77,7797,False,29
41,40,41,4386,True,30
9,0,0,3842,False,31
41,45,44,3793,True,32
15,58,82,7252,False,33
32,100,100,4124,False,34
27,81,81,3398,False,35
30,65,65,3784,False,36
13,31,32,3448,False,37
43,35,35,5874,False,38
46,76,75,4978,True,39
7,36,88,5345,False,40
10,12,5,6515,False,41
40,4,0,4337,False,42
37,12,11,6353,False,43
54,32,33,3777,True,44
39,99,96,3593,False,45
1,73,72,4273,False,46
23,24,25,4010,False,47
8,0,0,4065,True,48
6,4,64,5409,False,49
45,24,26,5466,False,50
16,23,22,4242,False,51
8,0,0,3464,True,52
47,65,54,8564,True,53
25,19,0,6820,False,54
34,100,100,3528,False,55
47,62,61,4402,True,56
42,36,36,5209,False,57
28,89,90,6473,False,58
14,23,24,21163,False,59
19,21,22,5265,False,60
