pattern,complexity_response,beauty_response,rt,is_repeated,trial
70,29,41,25131,False,1
105,52,58,10715,True,2
104,55,56,8022,True,3
83,20,26,7669,False,4
106,15,23,9983,False,5
103,17,19,8277,False,6
78,1,3,6655,False,7
75,12,19,9623,False,8
66,23,35,9005,False,9
65,18,36,10952,False,10
94,32,33,11022,True,11
81,31,59,9166,False,12
89,46,64,7246,True,13
64,2,69,9670,False,14
88,29,39,7454,False,15
77,19,50,7758,False,16
101,43,56,7423,False,17
97,14,17,9807,False,18
92,33,45,9103,False,19
76,45,56,11469,False,20
67,7,68,6837,False,21
86,35,52,8239,False,22
104,45,69,10768,True,23
74,31,54,7519,False,24
108,30,45,12965,False,25
61,5,7,6727,False,26
58,12,67,9358,False,27
102,21,28,9159,False,28
72,18,49,9351,False,29
63,30,57,7974,False,30
93,42,47,7656,True,31
89,50,59,7766,True,32
71,33,49,7853,False,33
56,43,43,12118,False,34
79,36,66,6903,False,35
95,32,50,6615,False,36
91,46,46,9143,False,37
68,25,40,6774,False,38
57,47,47,17582,False,39
62,19,54,9341,False,40
107,48,53,9350,False,41
60,24,60,8672,False,42
96,37,47,6647,False,43
90,32,51,6806,False,44
99,51,59,6559,False,45
84,30,40,7221,False,46
82,19,30,7893,False,47
93,38,46,5982,True,48
105,46,62,9766,True,49
94,47,53,5399,True,50
80,39,54,9318,False,51
59,28,60,5446,False,52
85,23,39,7824,True,53
98,37,44,13734,False,54
55,26,27,8150,False,55
69,39,56,7288,False,56
87,30,46,6534,False,57
100,35,50,4846,False,58
85,33,35,14391,True,59
73,26,28,6606,False,60
