pattern,complexity_response,beauty_response,rt,is_repeated,trial
72,34,85,11447,False,1
66,9,38,8958,False,2
62,16,52,8287,False,3
79,51,98,9246,False,4
74,1,7,6159,False,5
93,46,68,8479,False,6
98,29,39,8015,True,7
102,21,34,12751,False,8
60,3,46,10087,False,9
56,67,67,8503,False,10
92,48,68,5990,False,11
70,10,16,4144,False,12
64,1,7,4967,True,13
86,51,94,6303,False,14
81,53,96,7743,False,15
108,32,59,13119,False,16
97,5,2,7543,False,17
67,6,4,5887,False,18
90,19,41,7063,False,19
87,42,55,11799,True,20
106,62,75,8287,False,21
107,55,57,10710,False,22
68,71,92,9305,False,23
84,34,28,7876,False,24
96,46,60,8551,False,25
83,16,33,7935,False,26
64,8,1,6391,True,27
55,51,51,13646,False,28
85,48,59,14135,True,29
65,29,65,5711,False,30
78,7,1,7911,True,31
104,51,72,8678,False,32
75,58,93,13487,False,33
63,74,98,6223,False,34
87,61,69,5040,True,35
85,48,39,5301,True,36
69,59,74,6311,False,37
57,72,72,12343,False,38
58,2,25,11951,False,39
82,14,23,9095,False,40
73,6,11,9454,False,41
101,68,95,5887,False,42
95,50,67,7119,False,43
98,43,52,7623,True,44
59,26,20,6911,False,45
105,69,94,5286,False,46
61,12,2,7880,False,47
88,22,13,6623,True,48
76,48,89,8263,False,49
78,3,0,6855,True,50
100,37,50,7495,False,51
80,38,31,7911,False,52
94,59,76,7495,False,53
89,60,84,4606,False,54
99,72,98,4135,False,55
103,38,26,11982,False,56
88,16,22,8831,True,57
91,66,67,12119,False,58
77,37,49,10190,False,59
71,39,47,5238,False,60
