pattern,complexity_response,beauty_response,rt,is_repeated,trial
196,78,77,13845,False,1
181,19,17,8428,False,2
185,37,38,4333,False,3
207,50,49,6568,True,4
189,21,19,4284,True,5
169,48,48,6270,False,6
163,8,31,5950,False,7
189,9,21,3061,True,8
210,38,50,4958,False,9
191,7,8,3918,False,10
177,62,62,4126,False,11
214,92,87,3486,False,12
188,62,61,3463,False,13
176,86,86,2796,True,14
212,55,60,3990,False,15
184,37,33,3399,True,16
199,46,49,5069,False,17
171,40,33,3798,False,18
190,48,64,3853,False,19
182,56,45,2678,False,20
203,18,11,3550,False,21
167,45,53,3181,False,22
192,75,71,3333,False,23
172,27,78,4118,False,24
208,40,52,3671,False,25
195,81,77,4204,True,26
186,63,60,3190,False,27
175,4,3,3326,False,28
215,92,91,2733,False,29
207,88,82,2487,True,30
170,45,75,7093,False,31
178,12,50,4750,False,32
193,7,9,4182,False,33
197,85,86,4246,False,34
164,68,70,5910,False,35
211,75,74,3638,False,36
174,67,94,3511,False,37
166,8,60,4789,False,38
216,75,77,5638,False,39
187,67,81,4710,False,40
183,31,49,3950,False,41
180,3,15,3502,False,42
206,68,69,3710,False,43
198,69,87,6509,False,44
176,73,86,2726,True,45
173,33,40,4941,False,46
194,78,77,3406,False,47
200,58,66,3118,False,48
213,62,75,3108,True,49
204,65,72,2406,False,50
165,83,81,3254,False,51
195,83,83,2366,True,52
202,56,57,3444,False,53
213,65,68,3254,True,54
179,25,42,3862,False,55
205,36,44,3350,False,56
168,53,52,3550,False,57
184,53,52,2349,True,58
209,31,43,2766,False,59
201,45,46,2222,False,60
