pattern,complexity_response,beauty_response,rt,is_repeated,trial
17,59,83,10849,False,1
8,2,3,8331,False,2
47,85,96,7524,False,3
44,16,81,29889,True,4
25,13,23,7149,False,5
32,17,43,6111,False,6
6,70,81,8085,False,7
24,42,73,75699,False,8
23,89,92,5665,False,9
37,59,91,10728,False,10
1,21,39,39181,True,11
14,19,71,6651,True,12
41,78,84,20194,False,13
50,68,74,12183,False,14
42,79,83,11460,False,15
5,26,47,6452,False,16
26,23,36,6789,False,17
12,41,68,34069,False,18
11,69,74,18574,False,19
20,70,86,37109,False,20
31,29,79,29399,False,21
22,54,67,12883,False,22
48,72,79,8961,False,23
35,79,92,78752,False,24
13,61,84,6228,False,25
29,69,78,6083,False,26
1,50,73,6485,True,27
16,61,80,5356,True,28
34,50,75,43232,False,29
27,68,84,35794,False,30
2,76,89,8194,False,31
3,65,89,21620,False,32
49,68,81,20697,False,33
19,65,78,5379,False,34
53,69,83,61412,False,35
28,62,80,13894,False,36
30,69,84,50698,False,37
39,67,81,19432,False,38
14,63,81,17370,True,39
15,58,76,7735,False,40
10,60,72,17592,False,41
21,61,68,5093,False,42
36,63,74,36981,False,43
7,63,74,13195,False,44
4,62,74,19369,True,45
16,48,55,6666,True,46
51,55,58,4943,False,47
43,53,75,4041,False,48
45,59,71,3721,True,49
9,56,63,9413,False,50
38,62,69,29124,False,51
52,66,72,13839,False,52
54,61,76,15561,False,53
40,62,75,20374,False,54
44,57,68,9614,True,55
46,56,69,11965,False,56
33,33,52,7404,False,57
4,62,66,13870,True,58
45,62,72,24683,True,59
18,62,71,48281,False,60
