pattern,complexity_response,beauty_response,rt,is_repeated,trial
88,62,49,10734,False,1
97,40,40,112757,False,2
93,67,69,10494,False,3
72,43,54,5143,True,4
107,60,56,4463,False,5
101,65,65,14294,False,6
104,44,52,6007,False,7
56,42,41,7559,False,8
102,71,59,21886,False,9
83,25,27,8886,False,10
85,65,59,3999,False,11
96,39,48,10479,False,12
71,75,72,7350,False,13
77,74,81,5477,True,14
79,61,77,5935,False,15
65,34,52,4255,True,16
68,32,35,7759,False,17
64,12,11,6575,False,18
74,34,36,4158,True,19
58,20,47,4335,False,20
87,40,29,4775,False,21
95,61,52,7694,False,22
73,37,36,5526,False,23
86,57,44,2967,False,24
81,44,47,4095,False,25
89,39,36,4405,False,26
98,34,43,5303,False,27
78,6,12,7389,False,28
66,22,17,14207,False,29
75,59,63,6631,False,30
61,5,4,6791,True,31
100,43,50,4542,False,32
59,54,43,7663,False,33
77,52,44,8367,True,34
84,34,30,6367,False,35
92,54,55,18639,False,36
60,29,50,5270,False,37
91,34,43,3711,False,38
94,36,35,8271,False,39
65,51,75,3167,True,40
106,80,80,3999,False,41
67,3,8,7743,False,42
90,30,49,11079,False,43
76,53,82,3790,False,44
103,50,53,4239,True,45
61,5,5,3231,True,46
108,46,50,3359,False,47
99,69,74,9383,False,48
105,67,69,3223,False,49
80,42,38,17639,False,50
70,31,45,5031,False,51
82,29,30,4615,False,52
55,41,43,11174,False,53
74,46,43,5030,True,54
69,58,67,5166,False,55
62,56,38,3758,False,56
103,56,64,7511,True,57
72,36,66,3879,True,58
57,53,51,7596,False,59
63,68,77,4998,False,60
