pattern,complexity_response,beauty_response,rt,is_repeated,trial
188,34,24,7557,False,1
164,58,59,6552,False,2
216,46,55,5993,False,3
208,37,36,5659,False,4
183,32,48,4533,True,5
165,75,75,5217,False,6
211,54,58,4897,False,7
201,56,62,3122,False,8
176,19,77,23803,False,9
192,50,65,4119,False,10
163,20,18,6182,True,11
179,24,15,4675,False,12
168,18,57,5359,False,13
186,31,56,15049,False,14
189,8,5,4613,False,15
203,11,8,3453,True,16
175,4,4,6613,False,17
210,39,53,3475,False,18
207,41,57,4125,False,19
204,39,51,3585,False,20
185,30,36,3287,False,21
172,22,25,2235,False,22
170,38,36,3067,False,23
198,53,58,4653,False,24
166,14,39,4157,False,25
202,56,58,6223,True,26
194,63,66,3019,False,27
173,32,28,2871,False,28
215,53,57,3389,False,29
202,35,25,4269,True,30
191,6,5,5137,False,31
167,11,52,3467,True,32
180,14,15,3445,False,33
197,34,57,2911,False,34
167,28,28,4887,True,35
181,37,23,4801,True,36
206,54,60,4339,False,37
163,26,17,5963,True,38
200,58,64,24537,False,39
174,44,63,5521,False,40
205,26,31,3743,False,41
203,10,6,3247,True,42
212,22,27,3507,False,43
177,16,50,3537,False,44
196,31,49,5577,False,45
213,49,67,4371,False,46
169,25,54,6291,False,47
195,41,59,6167,False,48
214,56,76,8967,False,49
187,42,59,3021,False,50
199,23,42,3591,False,51
181,12,24,3059,True,52
182,33,51,5491,False,53
178,22,45,3899,False,54
209,45,36,3961,False,55
190,40,37,5721,False,56
171,17,19,4071,False,57
183,14,28,3051,True,58
193,15,21,3811,False,59
184,16,31,2511,False,60
