pattern,complexity_response,beauty_response,rt,is_repeated,trial
180,50,49,13644,False,1
186,86,85,8988,True,2
166,34,47,6070,False,3
185,63,64,6447,False,4
213,76,75,13334,False,5
173,24,21,13734,False,6
168,78,77,8911,False,7
209,99,100,6374,False,8
208,6,23,7039,False,9
167,24,23,6390,False,10
174,50,49,7695,False,11
165,100,99,13759,False,12
192,100,100,7438,False,13
164,55,4,14918,True,14
197,100,100,7679,False,15
211,72,24,8567,False,16
163,0,0,6751,False,17
193,54,82,8495,False,18
190,60,40,9671,False,19
189,13,32,9215,True,20
201,32,1,8063,True,21
215,100,100,10207,True,22
196,100,100,10007,False,23
195,94,94,6119,True,24
178,99,99,7095,False,25
181,37,36,11366,False,26
176,100,100,6895,False,27
189,46,43,9023,True,28
183,65,30,10703,False,29
182,20,11,4926,False,30
195,99,99,5951,True,31
188,99,99,5471,False,32
186,98,99,9623,True,33
203,6,2,11502,False,34
207,59,44,7263,False,35
216,99,99,5358,False,36
210,99,99,6487,False,37
200,97,96,6222,False,38
171,97,97,6671,False,39
175,19,67,11951,False,40
204,85,11,14271,False,41
172,99,99,4703,False,42
191,1,3,7358,False,43
164,56,0,8071,True,44
199,44,1,7582,False,45
169,99,99,4383,False,46
184,83,50,8031,False,47
202,86,18,7639,False,48
170,99,97,5382,False,49
214,99,92,11942,False,50
194,100,98,5183,False,51
198,99,98,7175,False,52
187,96,92,6574,False,53
215,95,86,13007,True,54
205,56,20,10934,False,55
206,92,79,5239,False,56
179,53,81,7503,False,57
201,76,55,4783,True,58
177,100,99,4599,False,59
212,91,74,5951,False,60
