pattern,complexity_response,beauty_response,rt,is_repeated,trial
76,19,23,10248,False,1
66,22,23,4450,True,2
62,7,8,4934,False,3
97,24,21,7631,False,4
92,35,36,5112,False,5
88,38,42,6021,False,6
86,26,39,6189,False,7
94,31,36,6952,False,8
58,11,45,6574,True,9
91,43,44,20417,False,10
106,47,56,5844,False,11
98,53,61,4639,True,12
64,2,11,5833,False,13
63,51,59,7940,True,14
95,65,71,5289,False,15
72,20,62,5358,False,16
81,29,59,3977,False,17
59,25,45,7210,False,18
63,30,52,4785,True,19
89,61,65,19970,False,20
83,34,50,5318,False,21
98,69,76,16146,True,22
70,41,57,5171,False,23
56,65,66,7826,False,24
90,52,57,7648,False,25
78,13,25,8221,False,26
65,45,66,8126,True,27
73,20,58,5220,False,28
80,31,52,5569,False,29
100,55,68,5594,False,30
66,32,62,4312,True,31
57,63,63,9068,False,32
101,42,63,11142,False,33
74,29,49,6041,False,34
96,37,48,4932,False,35
87,38,51,6079,False,36
99,58,61,6038,False,37
93,58,63,7213,False,38
79,46,57,4409,False,39
69,49,57,3412,True,40
71,41,49,5852,False,41
77,45,54,5821,False,42
55,40,49,8783,False,43
85,56,61,8150,False,44
60,9,44,4548,False,45
104,36,51,4203,False,46
108,68,70,5398,False,47
58,14,44,4072,True,48
84,47,57,14746,False,49
68,51,62,3639,False,50
69,50,57,3509,True,51
65,56,61,4104,True,52
102,59,59,9769,False,53
103,61,62,8120,False,54
82,42,64,5445,False,55
107,68,72,25415,False,56
105,64,69,10619,False,57
75,54,58,26894,False,58
67,7,22,5367,False,59
61,16,18,6504,False,60
