pattern,complexity_response,beauty_response,rt,is_repeated,trial
216,65,66,11323,True,1
205,37,7,12111,False,2
201,46,49,9082,False,3
191,18,1,5803,False,4
170,31,79,7858,False,5
187,53,59,5426,False,6
183,54,58,10339,False,7
177,42,64,6158,False,8
200,60,57,6410,False,9
182,51,67,6160,False,10
175,9,20,22707,False,11
202,17,21,6030,False,12
168,9,23,4728,False,13
184,11,19,5084,False,14
165,95,94,6539,False,15
199,47,46,13447,False,16
178,22,45,5882,True,17
210,86,86,4396,False,18
188,21,39,4721,False,19
180,22,41,4375,False,20
195,41,49,3759,False,21
164,87,87,4591,False,22
176,33,73,4143,True,23
173,31,63,5260,False,24
166,27,76,12141,False,25
215,72,80,4473,False,26
212,50,52,3401,False,27
206,38,51,4343,True,28
185,29,37,4564,False,29
213,71,80,4695,False,30
181,17,43,3485,False,31
204,52,62,4217,False,32
189,12,42,3473,False,33
172,27,63,3750,False,34
216,43,56,4901,True,35
190,30,43,3741,False,36
209,39,49,8142,False,37
176,29,77,4178,True,38
179,13,34,5116,False,39
171,16,43,4350,True,40
207,29,45,3240,False,41
197,74,84,3387,False,42
203,34,39,5708,False,43
186,51,62,6323,False,44
167,20,54,4374,False,45
208,37,45,3791,False,46
192,47,66,4432,False,47
198,57,70,3224,False,48
193,23,33,3149,True,49
169,16,47,4598,False,50
211,69,74,5249,False,51
214,74,85,3684,False,52
171,20,60,3818,True,53
163,24,23,7186,False,54
194,68,80,3586,False,55
206,49,64,4810,True,56
196,64,69,3883,False,57
193,19,28,3791,True,58
178,4,31,3476,True,59
174,38,61,3421,False,60
