pattern,complexity_response,beauty_response,rt,is_repeated,trial
68,49,40,7405,False,1
58,12,13,4964,False,2
78,30,25,4016,False,3
106,79,88,4490,False,4
102,39,30,4410,False,5
64,2,2,3774,False,6
91,82,83,4902,False,7
69,57,61,4844,False,8
97,45,50,4461,True,9
63,29,25,4112,False,10
75,46,39,4291,False,11
74,33,23,5077,False,12
71,30,25,3804,False,13
84,65,73,3939,False,14
90,52,39,2701,False,15
92,70,72,4474,False,16
104,38,48,5246,False,17
76,69,67,5179,True,18
59,29,47,4359,False,19
67,1,5,4485,False,20
100,62,63,3813,False,21
86,74,72,3381,True,22
101,60,45,3792,False,23
83,34,31,3210,False,24
82,25,29,3499,False,25
65,35,31,5013,False,26
103,51,56,6152,False,27
73,21,25,4180,False,28
94,51,42,4037,False,29
86,25,25,3703,True,30
99,26,16,4060,False,31
105,22,20,3368,False,32
81,23,45,3338,True,33
89,36,51,3894,False,34
107,24,34,4264,True,35
56,67,55,5482,False,36
55,23,55,3853,False,37
72,27,49,3825,False,38
98,41,56,3487,False,39
81,25,49,2911,True,40
61,39,40,4882,True,41
62,26,52,4195,False,42
96,43,56,4246,False,43
80,23,57,4797,False,44
93,50,62,5047,False,45
60,32,53,4489,False,46
97,28,55,3737,True,47
66,35,55,5267,False,48
79,33,54,5057,False,49
95,43,61,3722,False,50
108,37,56,3565,False,51
61,33,44,4918,True,52
85,44,52,6936,False,53
57,54,53,4324,False,54
87,57,49,3486,False,55
107,63,53,4474,True,56
77,47,54,4463,False,57
76,59,52,3192,True,58
88,53,55,3980,False,59
70,53,54,4392,False,60
