pattern,complexity_response,beauty_response,rt,is_repeated,trial
43,10,31,6466,False,1
26,40,45,3554,False,2
48,51,51,4120,True,3
10,85,80,4650,False,4
5,83,82,4764,True,5
18,50,51,4842,True,6
16,21,28,4105,False,7
53,86,85,4756,False,8
24,81,77,3320,False,9
48,70,62,2917,True,10
32,50,49,4507,True,11
20,26,34,4907,False,12
34,73,72,4221,False,13
1,13,18,4507,False,14
29,23,28,6846,False,15
5,24,26,8800,True,16
35,22,25,8541,False,17
30,46,47,6031,False,18
22,33,32,8134,False,19
2,61,63,5752,False,20
7,31,29,8161,False,21
15,29,28,8877,False,22
25,67,71,5387,False,23
21,22,33,23231,False,24
12,30,29,97544,False,25
40,36,35,13831,False,26
27,62,44,117376,True,27
23,23,25,4256,False,28
44,38,41,3225,False,29
13,41,44,6310,False,30
42,27,33,4807,False,31
33,42,36,6625,False,32
49,27,32,8005,False,33
32,48,39,4341,True,34
28,41,45,5388,False,35
51,50,52,6344,False,36
37,35,36,5174,False,37
38,35,42,3570,False,38
6,44,47,3360,False,39
47,56,46,4392,True,40
39,32,38,4228,False,41
36,44,59,3262,False,42
19,23,31,6215,False,43
54,74,73,4499,False,44
41,22,42,4578,False,45
31,48,29,4830,False,46
18,66,52,6403,True,47
3,25,23,7853,False,48
50,47,35,3550,False,49
27,64,57,3154,True,50
14,46,57,3390,False,51
47,29,60,3934,True,52
4,19,32,4063,False,53
45,58,45,601644,False,54
9,65,57,3770,False,55
46,53,52,3426,False,56
11,55,53,9176,False,57
17,53,52,10800,False,58
52,50,51,6619,False,59
8,46,47,11507,False,60
