pattern,complexity_response,beauty_response,rt,is_repeated,trial
194,61,94,12440,False,1
213,100,100,8541,True,2
185,26,54,11695,False,3
177,30,61,12674,False,4
212,66,66,7392,False,5
211,50,51,8533,False,6
180,16,11,6666,True,7
190,29,43,6350,False,8
170,30,58,6165,False,9
165,100,100,7000,False,10
178,27,25,6005,False,11
187,54,44,8229,False,12
179,22,12,5898,False,13
198,89,94,6003,True,14
200,76,86,5666,False,15
206,68,86,10756,True,16
193,9,13,6932,False,17
209,31,85,5878,False,18
163,7,5,8131,False,19
206,65,78,9454,True,20
192,60,54,6540,False,21
204,68,65,4810,False,22
202,26,37,9117,True,23
205,19,13,13652,False,24
203,9,24,5092,False,25
207,24,23,6546,True,26
186,45,57,6854,False,27
198,72,87,4046,True,28
216,84,95,4786,False,29
171,24,33,5640,False,30
188,15,43,6207,False,31
167,12,30,4402,False,32
199,30,11,10883,False,33
195,25,38,7936,False,34
182,26,40,5185,False,35
189,18,40,7900,False,36
202,14,28,5784,True,37
168,8,68,5466,False,38
173,13,58,5774,False,39
181,27,69,19384,False,40
197,59,78,4595,False,41
201,27,57,8621,False,42
208,47,59,7430,False,43
215,60,64,4930,False,44
184,44,67,8230,False,45
183,23,42,5943,False,46
174,55,82,8932,False,47
175,8,4,7411,False,48
191,3,1,5942,False,49
169,48,49,4914,False,50
210,79,92,4646,False,51
214,97,100,6342,False,52
207,40,38,9849,True,53
213,46,47,4062,True,54
176,27,52,6544,False,55
164,55,55,9076,False,56
172,26,76,4748,False,57
166,10,62,7636,False,58
196,50,56,4590,False,59
180,21,44,5763,True,60
