pattern,complexity_response,beauty_response,rt,is_repeated,trial
11,64,65,17986,True,1
14,88,87,5645,False,2
28,88,89,4589,False,3
11,77,75,7007,True,4
5,75,77,4769,True,5
34,95,93,6445,False,6
16,81,81,4611,False,7
36,82,83,4533,False,8
32,85,85,4735,False,9
50,89,89,7187,False,10
7,90,88,4949,True,11
47,88,87,3824,True,12
4,87,86,4960,False,13
43,87,87,4881,False,14
20,90,90,3442,True,15
46,90,89,3970,False,16
37,89,89,3891,False,17
40,95,89,5320,False,18
27,91,90,4093,False,19
8,15,16,8324,False,20
49,91,89,4184,False,21
10,60,61,4746,False,22
25,71,70,4386,False,23
26,60,61,5028,False,24
22,74,74,4262,False,25
9,20,20,9505,False,26
54,68,68,4206,False,27
38,36,38,6445,False,28
45,55,55,5140,False,29
2,40,40,4454,False,30
51,64,63,3846,False,31
19,54,55,3396,True,32
6,33,36,6400,False,33
19,41,43,4454,True,34
15,44,44,4375,False,35
21,48,48,4600,False,36
5,50,48,8210,True,37
3,72,72,8246,False,38
1,6,8,6107,False,39
39,62,62,5422,False,40
29,36,36,5275,False,41
53,66,66,4499,False,42
12,51,51,4105,False,43
33,54,54,4150,False,44
20,66,65,4420,True,45
31,61,60,4645,False,46
44,64,63,5759,False,47
42,29,29,5534,False,48
24,28,28,3947,False,49
18,30,32,3723,False,50
35,67,67,12846,False,51
52,68,68,4218,False,52
17,70,70,3936,False,53
48,18,19,4375,False,54
7,66,66,5151,True,55
41,69,68,4116,False,56
30,65,67,3374,False,57
13,62,61,4094,False,58
23,59,59,4363,False,59
47,62,62,4341,True,60
