pattern,complexity_response,beauty_response,rt,is_repeated,trial
58,14,18,32515,False,1
103,47,65,19330,True,2
57,79,79,16551,False,3
100,75,75,17469,False,4
64,51,55,16137,False,5
97,34,38,19753,False,6
55,18,18,21603,False,7
72,70,77,15053,True,8
88,71,71,13551,False,9
62,25,37,14503,False,10
98,97,97,12918,False,11
103,83,77,20671,True,12
63,99,89,16387,False,13
73,100,95,17187,False,14
92,100,100,16202,False,15
89,99,99,19670,False,16
66,94,94,12435,True,17
94,99,98,11770,False,18
68,98,98,17001,False,19
85,98,97,10751,False,20
71,100,96,13519,False,21
56,98,98,12468,True,22
80,91,88,14119,False,23
104,99,99,12669,False,24
72,87,83,13686,True,25
86,97,96,12636,False,26
74,99,94,16537,False,27
95,97,94,17453,False,28
99,98,95,14668,True,29
106,100,100,16353,False,30
96,100,97,19120,False,31
67,0,0,17871,False,32
66,77,80,14236,True,33
102,100,100,12985,False,34
60,23,33,17236,False,35
65,76,96,10086,False,36
82,35,24,16669,False,37
79,46,50,14701,False,38
78,1,1,18271,False,39
99,99,99,20053,True,40
77,96,97,16819,False,41
75,100,100,13518,True,42
56,89,90,13269,True,43
108,90,90,29723,False,44
101,100,100,12668,False,45
90,100,93,15386,False,46
84,100,100,12786,False,47
107,100,99,19087,False,48
76,98,99,22487,False,49
87,88,84,15419,False,50
61,6,3,15836,False,51
59,69,73,15804,False,52
69,82,90,10183,False,53
70,99,98,16603,False,54
83,98,88,15469,False,55
91,99,99,13836,False,56
81,88,88,19755,False,57
75,97,97,12803,True,58
105,100,98,12653,False,59
93,100,100,13085,False,60
