pattern,complexity_response,beauty_response,rt,is_repeated,trial
105,86,87,6167,False,1
68,42,41,3782,True,2
58,13,13,4863,False,3
80,44,44,4615,False,4
67,4,3,3839,False,5
65,33,47,5143,False,6
64,1,2,3527,False,7
87,35,35,4903,False,8
68,5,9,2743,True,9
104,84,82,3343,False,10
73,15,16,4231,False,11
76,42,42,4063,True,12
75,27,28,4151,False,13
92,11,12,18863,False,14
94,18,18,3919,False,15
95,17,17,3607,False,16
66,13,14,2959,False,17
74,17,19,3487,False,18
63,71,70,2727,False,19
61,17,19,4103,False,20
89,51,50,4207,False,21
88,35,35,3359,False,22
59,13,23,5391,True,23
82,29,22,7415,False,24
100,14,15,4087,False,25
81,47,57,6983,False,26
106,21,22,5263,False,27
99,68,67,5127,False,28
85,18,20,4183,False,29
76,16,17,3911,True,30
90,11,11,3479,False,31
101,71,70,3743,False,32
96,76,75,3039,False,33
72,42,55,3455,True,34
97,7,8,3847,False,35
83,16,17,3263,False,36
86,48,48,5455,True,37
79,41,20,6695,True,38
62,7,8,4751,False,39
72,28,29,4695,True,40
59,14,16,3303,True,41
102,60,58,4663,False,42
70,71,69,2959,False,43
60,77,64,6503,False,44
69,72,54,3991,False,45
78,10,3,5039,False,46
71,74,47,7007,False,47
86,24,27,6655,True,48
98,16,19,3823,False,49
108,33,33,6551,False,50
57,71,70,9343,False,51
84,49,49,34695,False,52
55,90,90,3983,False,53
107,39,38,5711,False,54
91,63,63,3199,False,55
56,86,84,2999,False,56
103,29,30,4919,False,57
77,28,25,6063,False,58
79,36,36,6271,True,59
93,30,29,4175,False,60
