pattern,complexity_response,beauty_response,rt,is_repeated,trial
212,50,20,10390,True,1
168,48,23,8559,False,2
198,68,67,12194,False,3
169,64,77,8193,False,4
211,77,26,8114,False,5
209,69,40,5509,False,6
174,68,51,4896,False,7
208,38,23,8205,False,8
203,28,16,4644,False,9
195,65,64,3544,False,10
188,15,16,5542,False,11
210,73,75,4748,False,12
205,37,11,5471,False,13
183,34,22,5764,True,14
170,67,66,5366,False,15
207,39,26,8081,False,16
201,39,25,4934,False,17
182,48,44,3155,False,18
180,10,3,3540,False,19
189,6,3,4099,True,20
173,39,29,5259,True,21
172,66,66,4444,False,22
178,76,78,3428,False,23
193,46,57,4180,False,24
185,60,70,5541,False,25
187,49,37,6449,False,26
216,78,29,5419,True,27
163,11,10,10010,False,28
200,81,88,5144,False,29
213,83,87,4299,False,30
199,32,1,4832,False,31
166,1,98,5067,True,32
202,12,29,6102,False,33
197,97,98,4643,False,34
177,22,98,5213,False,35
214,99,97,3929,False,36
206,29,30,4819,False,37
192,28,29,3778,False,38
204,11,26,6398,False,39
190,26,8,9304,False,40
181,9,10,7693,False,41
175,4,9,5308,False,42
165,100,100,6660,False,43
164,27,27,5010,False,44
166,7,98,4683,True,45
176,96,96,4173,False,46
191,2,0,4390,False,47
196,98,99,3634,False,48
184,11,4,3578,False,49
179,15,3,4131,False,50
171,17,5,3321,False,51
167,10,95,5004,False,52
216,92,95,3450,True,53
194,95,97,4335,False,54
212,93,95,3602,True,55
183,19,94,4362,True,56
189,15,38,5458,True,57
215,99,99,3605,False,58
186,98,96,3282,False,59
173,55,36,4396,True,60
