pattern,complexity_response,beauty_response,rt,is_repeated,trial
215,100,83,14137,False,1
199,60,40,11666,True,2
189,15,37,6509,False,3
191,10,4,7845,False,4
181,68,82,14437,True,5
196,100,91,5690,False,6
166,83,99,6552,False,7
183,70,71,7875,False,8
175,73,95,19737,False,9
195,78,51,5788,False,10
187,88,77,7229,False,11
163,45,1,7427,False,12
168,91,99,16034,False,13
212,39,66,9926,False,14
202,26,53,11741,True,15
188,57,47,4833,False,16
216,99,71,4987,False,17
182,70,86,5832,False,18
207,70,56,5759,False,19
176,97,99,5869,False,20
209,88,92,4635,False,21
211,22,5,6738,False,22
171,100,100,9096,True,23
172,86,87,5265,False,24
170,91,98,3968,False,25
171,99,99,3832,True,26
174,70,36,4724,False,27
190,58,40,3538,False,28
179,70,57,5083,False,29
200,84,70,17707,True,30
173,30,15,6793,False,31
169,78,50,4034,False,32
178,99,97,3201,False,33
197,97,97,3591,False,34
214,92,96,3810,False,35
167,23,97,6023,False,36
192,25,55,5765,False,37
205,65,64,3613,False,38
184,26,31,5156,False,39
206,58,70,6802,False,40
193,36,43,9889,True,41
165,58,1,11491,False,42
204,58,19,7788,False,43
177,98,99,4437,False,44
193,50,41,4708,True,45
186,67,74,5466,False,46
181,39,81,4670,True,47
180,43,83,62255,False,48
194,90,78,6831,False,49
200,80,87,3281,True,50
210,94,96,10408,False,51
208,12,31,5061,False,52
201,28,3,5009,False,53
203,34,42,5508,False,54
202,49,57,5015,True,55
185,79,100,6671,False,56
213,52,12,5874,False,57
198,41,56,7176,False,58
199,26,8,8382,True,59
164,88,1,5751,False,60
