pattern,complexity_response,beauty_response,rt,is_repeated,trial
205,52,52,16112,False,1
175,31,31,8421,False,2
213,77,78,10743,True,3
182,60,61,5639,True,4
200,74,74,5142,False,5
193,50,50,4807,False,6
163,35,36,6654,False,7
195,74,75,10278,False,8
165,77,77,5327,False,9
176,66,65,6198,False,10
196,66,66,4279,False,11
188,51,54,19149,False,12
187,58,62,5678,False,13
210,65,72,4527,False,14
213,68,69,6600,True,15
208,65,71,4351,False,16
173,55,57,4174,False,17
167,55,59,4655,False,18
194,67,73,4095,True,19
198,62,70,4039,False,20
181,43,47,5661,False,21
186,56,58,3975,False,22
178,37,39,5607,True,23
207,61,64,4919,False,24
201,60,67,4367,False,25
185,56,61,5463,True,26
174,53,61,5110,False,27
183,55,62,6239,False,28
178,52,58,4311,True,29
170,57,62,4087,False,30
185,57,65,4919,True,31
172,64,67,8310,False,32
197,67,71,4159,False,33
190,64,72,3431,False,34
215,74,79,4383,False,35
216,79,84,3862,False,36
184,53,61,6175,True,37
202,55,61,5055,False,38
212,70,76,5078,False,39
191,37,39,9447,False,40
164,67,75,4079,False,41
179,46,51,9351,False,42
168,34,43,4975,False,43
184,37,43,5271,True,44
194,64,71,5558,True,45
206,71,79,5239,False,46
177,58,70,4086,False,47
171,51,58,3791,False,48
180,39,54,5199,False,49
211,69,71,6264,False,50
192,68,75,4783,False,51
203,42,45,10903,False,52
169,56,66,4663,False,53
166,36,67,8039,False,54
209,66,77,4783,False,55
204,63,70,4191,False,56
189,41,53,4943,False,57
214,66,74,4038,False,58
199,57,64,4952,False,59
182,64,73,3862,True,60
