pattern,complexity_response,beauty_response,rt,is_repeated,trial
186,31,38,19678,False,1
208,61,66,17380,False,2
178,49,54,6658,False,3
211,78,78,5338,True,4
163,40,36,5924,True,5
183,49,74,6532,False,6
187,73,83,5596,False,7
216,90,91,3727,False,8
203,50,62,5438,True,9
214,90,90,3616,False,10
204,89,93,2938,False,11
194,87,94,3031,False,12
192,69,95,4134,False,13
189,40,48,5217,False,14
209,55,78,5283,False,15
201,77,93,5172,True,16
167,50,86,7290,False,17
207,66,89,4712,False,18
210,71,93,5116,False,19
179,57,71,4883,False,20
171,61,72,3334,False,21
201,82,88,3455,True,22
198,67,83,4498,False,23
200,67,85,3782,False,24
169,62,79,4310,False,25
182,72,88,3047,False,26
185,68,78,4422,True,27
193,61,71,3923,False,28
191,50,52,4616,False,29
199,65,75,5423,False,30
188,38,49,4047,False,31
205,48,61,3376,False,32
215,86,91,3485,False,33
176,50,81,3990,False,34
177,43,79,3968,False,35
212,67,80,5103,False,36
185,55,86,3414,True,37
166,35,73,4030,False,38
174,75,87,4728,False,39
202,37,52,4415,False,40
195,71,81,3061,False,41
196,68,77,5164,True,42
175,11,28,4632,False,43
165,100,99,4554,False,44
168,25,39,4930,False,45
184,38,50,5627,False,46
196,57,72,4187,True,47
181,18,36,4900,False,48
206,46,54,9456,False,49
163,49,50,5446,True,50
203,42,63,4632,True,51
180,29,41,3868,False,52
170,36,46,4195,False,53
164,78,93,4126,False,54
172,39,68,5226,False,55
173,37,57,5907,False,56
190,50,67,5664,False,57
197,59,87,5266,False,58
213,69,92,3587,False,59
211,61,81,5643,True,60
