pattern,complexity_response,beauty_response,rt,is_repeated,trial
40,13,12,11904,False,1
43,40,27,13010,False,2
20,19,19,7540,False,3
30,53,43,6900,False,4
52,15,16,5742,False,5
23,14,25,6176,True,6
16,10,7,6651,False,7
9,1,3,5606,True,8
25,2,4,7226,True,9
36,48,52,7052,False,10
50,61,67,5966,False,11
44,53,57,6387,False,12
9,3,3,5542,True,13
54,20,17,5356,False,14
32,54,62,6054,False,15
10,18,19,26844,False,16
14,48,59,5919,True,17
2,17,18,4970,False,18
19,4,4,5423,False,19
35,28,27,7036,False,20
6,10,36,8460,False,21
27,22,48,5317,False,22
46,39,54,5277,False,23
45,14,17,5774,False,24
18,20,44,8372,False,25
41,9,14,11287,False,26
3,28,28,10780,False,27
14,16,35,7708,True,28
31,22,31,7444,False,29
33,29,34,8187,False,30
24,42,54,5382,False,31
12,20,36,5785,False,32
25,12,25,6446,True,33
22,25,41,6783,True,34
37,28,31,7651,False,35
48,33,36,7043,False,36
51,21,22,12202,False,37
13,33,33,11735,False,38
38,31,42,7356,False,39
21,31,35,7776,True,40
49,62,62,8123,False,41
5,28,66,6862,False,42
26,51,60,6282,False,43
42,41,42,7712,False,44
15,57,72,5446,False,45
7,40,69,7973,False,46
28,50,60,5366,False,47
22,39,53,4429,True,48
23,40,41,7316,True,49
29,50,53,6381,False,50
39,64,71,6796,False,51
53,46,45,6695,False,52
1,31,31,17294,False,53
17,48,60,5910,False,54
21,35,49,4995,True,55
11,20,20,6774,False,56
47,57,56,6182,False,57
8,13,17,6666,False,58
4,12,30,12489,False,59
34,62,67,9110,False,60
