pattern,complexity_response,beauty_response,rt,is_repeated,trial
201,56,54,11460,True,1
197,70,71,5408,False,2
200,76,76,3643,True,3
163,79,77,5635,True,4
182,22,24,4765,False,5
173,46,45,3990,False,6
192,66,65,4578,False,7
198,47,47,4644,False,8
206,33,33,3301,False,9
214,76,74,3627,False,10
163,43,44,2678,True,11
169,74,72,3229,False,12
190,55,56,3203,False,13
202,49,48,3511,False,14
212,40,39,3344,False,15
207,56,57,5120,False,16
204,51,50,3499,False,17
189,56,57,4637,True,18
195,74,72,3672,False,19
166,77,76,4781,True,20
205,61,60,3989,False,21
208,45,45,2525,False,22
199,44,47,2985,False,23
164,15,16,5839,False,24
183,48,48,3614,False,25
178,72,71,2981,False,26
170,74,73,3106,False,27
175,61,60,3467,False,28
166,56,54,4650,True,29
172,56,56,3721,False,30
174,51,51,4477,False,31
186,83,83,4785,False,32
171,60,60,4455,False,33
168,79,76,2988,False,34
184,66,66,3165,False,35
215,82,82,3179,False,36
185,65,64,3097,True,37
181,31,38,4926,False,38
194,90,91,4810,False,39
193,28,46,4553,False,40
179,18,33,6783,False,41
191,3,12,5105,False,42
213,20,25,3975,False,43
209,81,90,3501,False,44
211,27,26,5463,False,45
187,32,39,3743,False,46
165,33,33,8847,False,47
176,72,71,3040,False,48
189,6,6,5570,True,49
180,23,39,3684,False,50
201,24,25,5102,True,51
216,72,69,6517,False,52
200,61,61,2728,True,53
196,65,80,5314,False,54
185,78,76,4361,True,55
210,75,85,6078,False,56
188,17,31,4007,False,57
203,2,7,5936,False,58
177,26,31,15343,False,59
167,54,74,5526,False,60
