pattern,complexity_response,beauty_response,rt,is_repeated,trial
176,73,81,14346,False,1
211,53,53,15589,False,2
188,25,39,8418,True,3
198,28,33,9178,True,4
185,38,51,10620,False,5
216,64,64,7360,False,6
180,5,29,7592,False,7
203,5,12,9660,False,8
214,84,84,5878,False,9
194,88,88,4855,False,10
169,68,68,4082,False,11
178,52,64,7617,False,12
196,63,68,6360,False,13
208,39,47,5807,True,14
212,63,63,11129,False,15
210,71,77,9228,False,16
198,69,76,5525,True,17
200,69,76,6640,True,18
177,70,87,5982,False,19
213,66,71,8930,False,20
201,56,65,6455,False,21
175,12,34,6998,False,22
172,58,68,6384,False,23
191,6,6,9939,True,24
186,58,63,4477,False,25
202,57,64,4875,False,26
181,55,72,6148,False,27
165,84,84,8896,False,28
168,63,72,9404,False,29
197,83,87,5246,False,30
179,66,73,4797,True,31
173,54,70,5679,False,32
188,57,70,4205,True,33
182,57,68,3907,False,34
206,63,73,3597,False,35
183,62,72,3906,False,36
166,52,73,6320,False,37
167,55,73,6289,False,38
200,78,87,5029,True,39
208,75,82,4172,True,40
184,71,82,4621,False,41
174,89,92,5375,False,42
204,75,83,4572,False,43
170,72,80,4078,False,44
215,73,80,4242,False,45
207,73,82,3316,False,46
164,69,77,5069,False,47
193,43,54,6505,False,48
195,75,83,5192,False,49
190,74,83,3913,False,50
179,74,82,5214,True,51
209,73,83,5269,False,52
187,75,83,3410,False,53
205,75,84,3469,False,54
171,73,81,3226,False,55
192,87,90,4837,False,56
189,22,31,4644,False,57
191,9,21,4870,True,58
199,24,33,6535,False,59
163,6,6,9442,False,60
