pattern,complexity_response,beauty_response,rt,is_repeated,trial
71,85,85,20975,False,1
56,69,69,9440,False,2
102,69,68,13105,False,3
58,55,47,7517,False,4
93,66,66,7907,False,5
70,59,67,6961,True,6
78,0,0,13275,False,7
104,32,45,5445,False,8
77,58,72,6713,True,9
100,65,57,5367,False,10
69,75,71,4881,False,11
75,66,73,3765,False,12
105,81,80,4851,True,13
81,64,74,5991,False,14
84,69,76,6515,False,15
59,63,83,6865,False,16
96,53,61,9611,False,17
74,60,60,4717,False,18
101,63,65,5203,False,19
67,0,8,6993,True,20
57,59,59,9048,False,21
95,68,67,5757,False,22
55,29,30,7741,False,23
88,55,44,10175,False,24
103,63,62,5695,False,25
68,55,70,5984,True,26
91,53,52,6381,False,27
68,60,74,6015,True,28
67,8,24,10049,True,29
63,62,70,4273,False,30
90,69,79,5561,False,31
76,68,77,4273,False,32
105,82,87,4061,True,33
99,47,52,6077,False,34
106,55,63,6767,False,35
87,46,54,4539,False,36
107,57,57,6115,False,37
79,42,54,4415,False,38
83,37,45,4281,False,39
70,38,47,4327,True,40
80,26,40,4399,True,41
77,47,61,4819,True,42
86,57,65,4179,False,43
85,52,52,6375,False,44
61,3,3,11869,False,45
64,13,34,7359,False,46
72,45,57,4359,False,47
97,8,10,7408,False,48
89,46,53,4321,False,49
82,30,38,5477,False,50
98,47,55,4045,False,51
65,48,61,4189,False,52
73,13,14,6821,False,53
66,46,52,3781,False,54
80,47,53,4757,True,55
92,49,58,5101,False,56
94,48,55,6657,False,57
60,47,64,6649,False,58
108,46,62,6009,False,59
62,53,77,7095,False,60
