pattern,complexity_response,beauty_response,rt,is_repeated,trial
18,52,53,30891,False,1
3,86,86,17261,True,2
6,25,25,67719,False,3
37,74,73,27085,False,4
31,71,71,9785,True,5
5,28,27,15308,False,6
35,71,71,23393,False,7
41,78,79,13402,False,8
22,15,14,16697,False,9
27,72,73,9203,False,10
51,15,14,30257,False,11
16,32,31,14954,True,12
48,62,62,17187,False,13
45,75,75,10161,False,14
15,80,81,37161,True,15
34,86,87,9323,False,16
17,85,86,12345,False,17
43,83,84,31290,False,18
4,0,0,14898,False,19
8,4,3,14019,False,20
13,74,74,14760,False,21
33,72,72,19146,True,22
52,98,98,10393,False,23
21,84,84,8324,False,24
39,84,84,12994,False,25
30,86,86,7474,False,26
31,85,86,5604,True,27
46,85,84,14867,False,28
10,8,8,17459,False,29
9,24,24,7361,False,30
36,87,87,8611,False,31
54,92,92,9693,False,32
24,84,84,9944,False,33
14,37,38,22857,False,34
50,84,85,13027,False,35
28,73,73,100960,False,36
1,15,16,6057,False,37
16,39,38,9780,True,38
32,70,70,7851,False,39
26,80,81,33978,False,40
49,92,91,7448,False,41
11,20,20,25597,True,42
38,79,79,11969,False,43
15,80,80,5586,True,44
2,84,83,8279,False,45
20,66,66,12722,False,46
7,40,40,9254,False,47
29,98,98,13552,False,48
19,90,90,20987,False,49
3,95,93,4668,True,50
23,87,88,8139,False,51
44,89,90,21256,False,52
42,91,92,6971,False,53
12,67,67,7309,False,54
47,95,96,11103,False,55
33,91,92,5291,True,56
11,39,39,7406,True,57
25,62,62,10385,False,58
53,85,85,9348,False,59
40,100,100,10906,False,60
