pattern,complexity_response,beauty_response,rt,is_repeated,trial
37,32,30,48325,False,1
16,42,44,20012,False,2
29,57,66,38527,False,3
43,41,36,32205,False,4
48,23,26,29244,False,5
30,68,76,21299,False,6
40,54,59,34149,False,7
24,72,82,18514,True,8
52,84,89,9865,False,9
2,88,88,22566,False,10
13,76,72,36048,False,11
53,22,27,75299,True,12
22,71,63,37239,False,13
49,69,74,119371,False,14
41,75,81,38651,True,15
33,71,81,30752,True,16
20,80,86,21439,False,17
3,93,95,52279,False,18
9,25,33,9550,False,19
19,29,31,16639,False,20
46,77,80,16785,False,21
11,28,30,17149,True,22
18,75,78,11251,False,23
50,81,87,4030,False,24
4,83,91,4018,False,25
54,56,64,47863,False,26
12,28,29,11225,False,27
42,22,24,19431,False,28
26,36,36,20576,False,29
23,33,35,17882,False,30
39,74,78,22316,False,31
8,55,57,13421,False,32
36,70,74,9454,False,33
10,65,69,41747,False,34
47,78,81,74451,False,35
44,81,81,31479,False,36
34,78,85,19867,False,37
27,75,78,29212,False,38
7,75,76,10770,False,39
51,19,19,8370,False,40
11,35,31,8312,True,41
45,38,39,10187,False,42
32,59,60,5485,False,43
31,34,39,8345,False,44
38,71,74,14550,False,45
35,46,45,15460,False,46
17,57,61,7923,True,47
25,39,42,8708,False,48
15,59,59,10698,False,49
53,33,32,43627,True,50
5,74,75,4701,False,51
24,72,71,5837,True,52
28,72,72,6803,False,53
17,73,78,3917,True,54
6,60,61,5890,False,55
1,68,68,8578,False,56
33,57,59,10290,True,57
14,67,69,5673,False,58
41,54,56,11444,True,59
21,40,39,13703,False,60
