pattern,complexity_response,beauty_response,rt,is_repeated,trial
181,13,15,19506,False,1
173,16,17,11355,False,2
163,52,52,11995,True,3
192,85,86,8291,True,4
211,51,53,8058,False,5
206,87,87,7983,True,6
198,93,94,9459,False,7
168,19,21,17927,False,8
213,79,79,12961,False,9
185,50,50,64594,False,10
190,69,69,12267,False,11
192,84,85,9063,True,12
191,13,13,11029,False,13
209,75,74,9693,False,14
166,26,70,23483,False,15
214,91,96,11567,False,16
215,89,93,9403,False,17
195,78,93,14031,False,18
180,21,22,13899,True,19
187,89,90,11139,False,20
177,75,87,12429,False,21
206,75,87,10385,True,22
216,81,89,9349,False,23
163,51,51,15427,True,24
208,64,75,9561,False,25
171,67,86,13629,True,26
210,72,81,7989,False,27
188,29,29,12735,False,28
165,76,76,13325,False,29
183,71,78,8595,False,30
178,51,70,10931,False,31
182,75,87,12081,False,32
167,50,49,10511,False,33
180,20,32,11287,True,34
201,72,85,10991,True,35
176,66,85,13457,False,36
170,49,72,8151,False,37
196,52,69,10581,False,38
205,24,25,14597,False,39
212,51,52,10915,False,40
202,17,17,7803,False,41
174,50,77,10393,False,42
194,82,93,8465,False,43
172,23,34,8105,False,44
204,49,57,8519,False,45
200,68,74,8377,False,46
201,69,73,9299,True,47
184,16,28,7071,False,48
164,51,51,10423,False,49
193,14,14,8271,False,50
197,72,72,13987,False,51
179,9,10,7950,False,52
186,50,50,7415,False,53
203,11,11,13731,False,54
189,5,13,12587,False,55
199,49,49,8861,False,56
171,49,67,9873,True,57
207,49,60,11553,False,58
175,2,4,4449,False,59
169,50,60,13751,False,60
