pattern,complexity_response,beauty_response,rt,is_repeated,trial
30,22,28,5970,True,1
29,34,37,3818,False,2
23,69,54,3312,False,3
5,9,27,3827,False,4
15,37,63,3793,False,5
36,52,66,3821,False,6
37,71,70,4069,False,7
10,19,30,2939,False,8
49,96,97,3919,False,9
28,56,69,3101,False,10
38,55,65,3760,False,11
14,33,48,4434,False,12
11,40,45,3369,False,13
21,68,70,3822,False,14
4,4,62,3980,True,15
22,25,41,3682,True,16
46,60,77,3463,False,17
51,91,98,5630,False,18
33,65,68,4127,False,19
40,80,82,3053,False,20
2,83,82,6821,False,21
4,1,27,4750,True,22
9,18,23,3390,False,23
53,80,82,3393,False,24
7,43,63,3639,True,25
12,38,50,3192,False,26
52,72,71,4008,True,27
13,24,22,5585,False,28
52,73,72,3486,True,29
7,57,78,3118,True,30
24,52,60,4058,False,31
43,26,28,2591,False,32
27,30,42,2677,False,33
35,81,81,2813,False,34
42,82,82,2631,False,35
41,29,31,4458,False,36
20,70,71,26767,False,37
3,92,93,3661,False,38
26,71,76,2832,True,39
48,63,68,4332,False,40
6,7,51,3283,False,41
54,66,67,2765,False,42
19,37,41,5585,False,43
18,19,37,3047,False,44
45,79,82,3098,False,45
25,3,31,2906,False,46
17,36,46,12845,False,47
30,68,72,4741,True,48
22,31,67,3503,True,49
44,31,40,3055,False,50
1,2,2,5261,False,51
8,0,23,5239,False,52
26,78,85,3120,True,53
32,56,63,10419,False,54
47,61,73,3513,False,55
34,28,33,3076,False,56
39,40,45,2902,False,57
16,65,68,2915,False,58
31,63,68,3166,False,59
50,66,74,2629,False,60
