pattern,complexity_response,beauty_response,rt,is_repeated,trial
207,61,63,16254,True,1
205,48,48,6205,False,2
192,51,51,4368,True,3
212,46,45,3991,True,4
172,69,68,3749,False,5
206,52,51,5637,False,6
191,39,39,4338,False,7
183,49,49,11747,False,8
179,33,34,4127,False,9
195,43,44,5149,False,10
204,49,49,4270,False,11
181,39,41,5195,False,12
164,54,54,5228,False,13
214,77,78,14805,False,14
173,31,31,4067,False,15
180,38,39,4837,False,16
216,72,72,9771,False,17
207,43,45,2722,True,18
167,50,49,9053,False,19
189,24,25,5434,False,20
193,28,30,4305,False,21
213,53,53,8244,False,22
178,56,56,15052,False,23
165,67,66,7286,False,24
215,60,61,14772,True,25
197,73,73,4885,False,26
169,66,66,7459,False,27
182,48,48,3386,False,28
188,39,39,5489,False,29
192,40,41,5416,True,30
171,34,34,4028,False,31
215,66,66,3389,True,32
187,50,50,6609,False,33
203,38,38,4341,False,34
208,39,40,14879,False,35
210,61,62,13931,True,36
201,43,43,3511,False,37
166,32,31,4104,False,38
194,66,65,2396,False,39
211,34,35,3202,False,40
202,30,32,5626,False,41
174,68,68,6217,False,42
190,29,30,8369,False,43
196,63,63,3699,False,44
212,33,34,4720,True,45
168,30,32,3762,True,46
199,29,30,4889,False,47
198,55,58,5791,False,48
170,64,65,7585,False,49
209,57,59,6750,False,50
177,34,33,16813,False,51
176,66,66,3580,False,52
185,30,31,2786,False,53
186,60,61,3652,False,54
200,67,66,7117,False,55
175,33,36,4075,False,56
168,34,37,4619,True,57
163,26,29,3980,False,58
184,63,64,6422,False,59
210,36,37,4306,True,60
