pattern,complexity_response,beauty_response,rt,is_repeated,trial
85,55,55,11552,False,1
70,43,61,16448,False,2
84,53,53,8088,False,3
106,68,76,7786,False,4
67,2,19,6108,False,5
75,59,69,7184,False,6
88,43,43,6936,False,7
64,8,11,6955,False,8
81,65,78,10308,False,9
68,39,31,6610,False,10
79,51,74,10290,True,11
69,79,81,5605,False,12
61,1,1,7486,False,13
107,91,97,8309,False,14
101,81,92,7567,False,15
95,78,85,5582,False,16
108,89,94,5706,False,17
97,36,35,8357,False,18
98,76,84,5393,True,19
93,85,91,5083,False,20
98,88,87,4604,True,21
77,60,89,9745,True,22
71,94,100,7668,False,23
77,89,95,9320,True,24
55,66,67,6099,False,25
92,90,90,9653,False,26
83,41,54,6322,True,27
73,1,9,7004,True,28
83,34,45,6336,True,29
100,66,81,6910,False,30
58,13,72,8660,False,31
103,85,85,10224,False,32
79,55,85,6959,True,33
90,50,83,6919,False,34
56,85,84,14691,False,35
60,12,80,10012,False,36
76,70,96,5463,False,37
99,73,96,13729,False,38
94,74,87,6932,False,39
96,77,88,9874,False,40
73,7,19,5105,True,41
59,7,73,9767,False,42
102,87,98,7257,False,43
91,73,73,10322,False,44
87,44,80,10489,False,45
86,76,86,5965,True,46
82,22,38,8231,False,47
63,23,86,7606,False,48
57,90,91,8041,False,49
62,3,12,10925,False,50
80,57,74,7665,False,51
86,71,86,8297,True,52
65,14,43,11521,False,53
104,64,86,24204,False,54
74,46,66,10410,False,55
66,25,57,42344,False,56
78,0,0,8696,False,57
89,61,78,6678,False,58
72,28,80,5592,False,59
105,75,93,4920,False,60
