pattern,complexity_response,beauty_response,rt,is_repeated,trial
30,39,33,10798,False,1
31,27,29,11568,False,2
13,2,2,7599,False,3
53,35,41,8690,False,4
19,20,27,6072,False,5
34,56,67,7125,False,6
4,18,18,7241,False,7
20,58,66,9070,False,8
24,61,64,6710,False,9
6,49,47,6252,False,10
9,6,4,5195,False,11
28,24,28,7233,False,12
44,85,90,6493,False,13
1,5,6,4728,False,14
22,13,7,5482,False,15
51,14,13,8898,False,16
35,39,42,4876,False,17
41,3,3,7543,False,18
46,41,45,16376,False,19
49,64,65,7702,True,20
50,45,39,5243,True,21
14,7,5,5490,False,22
10,5,6,6837,False,23
29,18,17,6742,False,24
36,59,59,5817,True,25
32,62,51,6371,False,26
40,48,44,10927,False,27
2,20,20,6776,False,28
7,56,57,6743,False,29
8,0,0,5701,False,30
23,21,21,6580,False,31
42,37,36,8828,True,32
33,52,50,9233,False,33
37,41,40,4738,False,34
3,64,64,6758,False,35
48,58,58,5842,False,36
39,74,76,4955,False,37
52,74,75,7094,True,38
38,79,79,6813,False,39
16,54,59,8963,False,40
42,44,44,7598,True,41
12,27,22,5198,False,42
5,45,50,6128,False,43
27,32,22,6348,True,44
11,25,19,6503,False,45
25,12,8,7149,False,46
26,25,21,5367,False,47
47,43,43,5250,False,48
54,61,61,8824,False,49
36,76,77,5468,True,50
15,59,70,5889,False,51
52,63,63,5070,True,52
49,73,74,8855,True,53
18,11,7,4757,False,54
21,49,46,4994,False,55
50,57,53,9622,True,56
17,69,76,9943,False,57
45,66,66,3777,False,58
27,34,27,4994,True,59
43,7,5,4822,False,60
