pattern,complexity_response,beauty_response,rt,is_repeated,trial
6,0,0,9463,True,1
1,6,6,24293,False,2
36,51,57,15310,False,3
34,61,59,9831,False,4
49,71,72,10663,False,5
43,59,63,6783,False,6
14,7,9,9671,False,7
42,65,67,9270,False,8
52,75,79,15279,False,9
50,45,48,7415,True,10
21,30,30,7317,True,11
40,44,51,15303,False,12
10,12,18,17815,False,13
47,52,53,6038,False,14
35,39,38,3887,True,15
54,63,70,6911,False,16
16,37,38,6815,False,17
26,36,33,7990,False,18
5,3,5,11967,False,19
9,12,16,5759,False,20
8,1,0,7919,False,21
29,37,42,5551,False,22
45,34,24,7719,False,23
19,30,23,5382,False,24
41,42,51,4543,False,25
13,27,21,4943,True,26
28,29,35,6055,False,27
25,27,33,10263,False,28
13,18,14,10158,True,29
38,19,29,5959,False,30
18,12,3,5990,False,31
37,33,42,9334,False,32
23,27,20,7359,False,33
3,84,90,7487,False,34
53,75,89,3608,True,35
32,66,71,3286,False,36
44,76,85,3534,False,37
33,55,47,4463,False,38
46,39,48,5006,False,39
11,30,16,7032,False,40
4,0,0,5422,False,41
24,27,21,3855,False,42
21,19,14,4887,True,43
6,1,0,5151,True,44
31,41,29,24919,False,45
27,17,12,4614,False,46
2,58,44,4574,False,47
17,39,24,4376,False,48
51,57,73,4207,False,49
35,34,21,3206,True,50
39,56,71,2519,False,51
12,21,16,3495,False,52
48,66,77,2799,False,53
7,7,2,3846,False,54
15,5,8,5511,False,55
50,34,51,4136,True,56
30,45,43,4159,False,57
53,68,89,3590,True,58
20,51,71,3431,False,59
22,16,6,3870,False,60
