pattern,complexity_response,beauty_response,rt,is_repeated,trial
10,12,7,10726,False,1
27,56,67,6490,False,2
37,30,31,5124,False,3
23,36,32,5279,False,4
42,31,33,5840,True,5
9,4,5,4324,True,6
49,67,74,5980,False,7
35,84,82,4747,False,8
30,91,88,6831,False,9
36,95,92,4927,False,10
12,34,29,4683,False,11
42,28,36,5941,True,12
34,95,91,5381,False,13
38,84,86,4270,False,14
29,41,35,4692,False,15
48,15,18,5519,False,16
50,30,37,4613,False,17
39,90,87,6166,True,18
5,28,18,7955,False,19
54,24,21,7717,False,20
53,52,48,4637,True,21
26,36,41,4192,False,22
32,66,67,3409,True,23
2,79,67,3892,False,24
40,31,35,4699,False,25
1,7,6,4628,False,26
14,18,18,5533,True,27
52,42,46,22864,False,28
8,2,5,10262,False,29
17,65,67,25438,False,30
39,74,80,15766,True,31
21,67,61,3214,False,32
16,30,32,3997,False,33
53,30,29,6399,True,34
4,21,23,4134,False,35
14,32,27,3237,True,36
41,35,29,3605,False,37
3,80,79,5142,False,38
19,26,25,3949,False,39
31,19,14,7082,False,40
47,57,63,4877,False,41
6,30,22,4079,False,42
46,79,70,3748,False,43
7,31,22,4101,False,44
9,5,5,3895,True,45
28,83,64,5330,False,46
24,61,71,6251,False,47
43,44,44,4478,False,48
45,71,59,3918,False,49
33,58,46,4285,False,50
22,47,38,2077199,False,51
15,71,67,3421,False,52
25,42,44,3150,False,53
20,80,88,3854,False,54
51,50,48,3655,False,55
13,35,34,3604,False,56
32,68,64,6021,True,57
18,31,22,19720,False,58
11,29,21,3418,False,59
44,81,78,4387,False,60
