pattern,complexity_response,beauty_response,rt,is_repeated,trial
25,11,29,11075,False,1
17,48,81,11477,False,2
21,44,75,8817,False,3
24,46,73,10314,False,4
6,24,48,6860,False,5
50,66,91,7950,True,6
11,32,48,8798,False,7
39,60,83,8740,False,8
12,34,47,7297,False,9
19,31,51,5762,False,10
46,54,75,6013,False,11
2,78,96,12095,True,12
54,58,85,9917,False,13
52,80,92,6308,False,14
30,49,62,8523,False,15
53,39,66,6702,False,16
13,21,21,11321,False,17
23,25,37,6375,False,18
32,41,52,5654,False,19
40,37,57,12381,False,20
5,29,53,10728,False,21
20,22,44,10411,False,22
2,80,98,7504,True,23
41,28,37,26197,False,24
14,18,26,8880,False,25
3,59,78,6563,False,26
43,34,44,7246,False,27
38,46,56,9926,True,28
15,39,53,5191,True,29
45,54,67,8769,False,30
38,38,54,6564,True,31
50,58,67,9126,True,32
8,4,8,8128,False,33
22,22,35,11462,False,34
42,36,46,7219,True,35
33,40,45,11884,False,36
1,8,13,11521,False,37
7,22,31,10165,False,38
16,27,44,5585,False,39
34,64,81,66669,False,40
28,39,61,4497,True,41
44,58,71,4307,False,42
4,10,22,24179,False,43
31,37,62,16642,False,44
42,51,69,16702,True,45
29,30,53,6626,False,46
35,48,66,7242,False,47
37,59,71,11245,False,48
9,12,22,6273,False,49
10,15,22,10070,False,50
26,10,24,18512,False,51
48,45,65,10355,False,52
18,13,15,9633,False,53
49,53,70,6926,False,54
47,64,79,9368,False,55
27,37,51,50449,False,56
36,46,57,9555,False,57
28,36,45,10853,True,58
51,43,55,12774,False,59
15,37,64,13726,True,60
