pattern,complexity_response,beauty_response,rt,is_repeated,trial
201,39,35,12709,False,1
167,21,59,6694,False,2
200,51,34,5895,False,3
177,22,55,20235,True,4
216,51,22,5141,False,5
178,18,47,3238,False,6
169,16,34,2500,False,7
204,35,19,3201,False,8
215,24,64,2834,False,9
198,22,51,2221,True,10
171,26,40,3194,False,11
182,29,46,2128,False,12
185,25,52,2462,False,13
198,41,42,1632,True,14
192,29,31,2672,False,15
168,54,48,2313,False,16
163,31,49,2311,False,17
186,53,36,1976,False,18
170,31,48,2621,False,19
206,56,50,2842,False,20
165,39,33,3119,False,21
177,45,43,10847,True,22
181,44,40,3344,False,23
166,41,47,2238,False,24
184,27,30,2269,False,25
214,31,66,3020,False,26
211,56,20,4074,False,27
172,26,42,2018,False,28
210,31,44,1790,True,29
188,42,40,2322,False,30
189,36,48,2581,False,31
213,36,53,2303,False,32
190,47,35,3165,False,33
209,38,46,1712,False,34
191,37,60,2013,False,35
194,33,34,3082,False,36
212,29,45,2362,False,37
199,42,29,2309,False,38
202,36,47,2157,False,39
183,32,34,1773,False,40
164,35,47,2141,False,41
205,41,34,1900,False,42
193,29,48,2392,False,43
187,52,45,2984,True,44
210,40,48,2177,True,45
208,38,28,2284,False,46
179,36,7,2772,False,47
174,36,37,1761,True,48
203,33,37,2318,False,49
197,24,35,2262,False,50
187,32,18,1791,True,51
180,10,11,3242,True,52
195,22,26,3091,False,53
196,27,27,1459,False,54
174,53,49,2345,True,55
173,29,50,1677,False,56
176,38,42,2201,False,57
175,35,36,2625,False,58
180,5,11,4278,True,59
207,21,35,2157,False,60
