pattern,complexity_response,beauty_response,rt,is_repeated,trial
55,12,13,5122,False,1
79,26,32,4172,False,2
74,13,15,3196,False,3
72,9,31,9403,True,4
94,50,52,4605,False,5
105,31,36,3926,False,6
62,5,7,3930,False,7
88,38,39,4268,False,8
63,10,23,3322,False,9
81,6,12,4103,False,10
75,51,60,3564,False,11
102,80,87,4443,False,12
77,23,27,4380,True,13
98,62,65,4542,False,14
69,23,34,3786,False,15
104,79,85,4037,False,16
73,14,22,4249,False,17
76,55,58,5425,False,18
68,61,61,4157,True,19
65,24,42,3125,True,20
77,36,68,2831,True,21
106,93,94,4032,False,22
65,59,71,3698,True,23
100,73,76,18773,False,24
86,70,75,4278,False,25
97,18,1,6148,False,26
90,18,19,3908,False,27
103,80,63,6687,False,28
95,52,52,4185,False,29
101,82,83,4277,False,30
99,66,69,4929,False,31
80,26,45,5127,False,32
93,85,71,4576,False,33
72,11,27,4599,True,34
96,94,99,6733,False,35
60,5,27,4250,False,36
70,87,86,4137,False,37
78,7,25,6195,False,38
67,3,13,4783,False,39
57,93,77,7800,False,40
108,59,67,5075,False,41
58,6,15,3854,False,42
59,7,14,3475,False,43
56,93,88,5176,False,44
85,39,44,5907,False,45
87,74,73,4006,False,46
92,84,85,4482,True,47
107,93,84,4919,False,48
92,89,81,3278,True,49
68,55,44,5848,True,50
83,26,34,4249,False,51
89,76,69,4461,True,52
82,16,31,4218,False,53
89,77,78,3829,True,54
64,5,22,5492,False,55
84,60,53,3327,False,56
91,89,64,4448,False,57
66,15,29,4436,False,58
71,67,67,6007,False,59
61,9,5,12087,False,60
