pattern,complexity_response,beauty_response,rt,is_repeated,trial
31,73,30,27961,False,1
39,28,66,7017,True,2
15,96,48,7460,True,3
9,78,13,6789,False,4
50,75,64,11133,False,5
12,92,22,5813,False,6
53,73,77,6036,False,7
54,13,75,9439,False,8
44,25,70,10673,False,9
5,98,19,6397,False,10
38,98,45,7382,False,11
1,1,2,8601,False,12
48,22,39,9585,False,13
4,99,10,6299,False,14
30,57,64,9915,False,15
32,61,69,15111,False,16
26,88,63,13527,False,17
3,0,70,13175,False,18
15,95,51,8960,True,19
2,0,18,8231,True,20
21,91,26,7568,False,21
2,0,33,8641,True,22
14,83,22,5169,False,23
27,87,32,6734,False,24
22,94,15,5156,True,25
34,42,86,7477,False,26
35,32,83,6550,False,27
47,21,85,20108,False,28
11,80,63,10876,False,29
36,62,80,10961,False,30
28,82,64,6196,False,31
39,42,62,7078,True,32
24,85,54,9443,False,33
16,74,58,15459,False,34
7,96,89,12359,False,35
10,92,12,7278,False,36
41,9,16,6606,False,37
22,88,11,4866,True,38
6,97,14,11371,False,39
13,4,4,7325,False,40
20,88,65,8978,False,41
51,59,43,19002,True,42
8,66,3,12909,False,43
17,78,77,11965,True,44
40,20,96,11043,False,45
33,54,54,10813,False,46
29,44,44,9857,False,47
52,12,72,8176,False,48
42,21,37,6414,False,49
17,81,72,6710,True,50
45,75,78,7078,False,51
23,75,57,7262,False,52
19,77,58,6349,False,53
46,70,67,8361,False,54
43,43,40,10099,False,55
51,51,42,7863,True,56
37,49,53,9198,False,57
18,87,13,6937,False,58
25,75,14,11253,False,59
49,8,79,8096,False,60
