pattern,complexity_response,beauty_response,rt,is_repeated,trial
32,73,73,21129,False,1
9,4,6,10003,False,2
27,48,41,9942,False,3
7,50,61,7967,False,4
25,8,9,8240,False,5
49,50,50,13014,False,6
28,50,68,8426,False,7
46,53,49,10700,False,8
17,39,40,9779,False,9
30,64,63,9143,False,10
50,61,65,8847,True,11
26,76,72,9909,True,12
3,83,83,10617,False,13
10,6,8,8709,False,14
41,20,20,8667,False,15
39,61,62,6541,False,16
24,45,58,8146,False,17
13,9,6,10263,True,18
26,35,39,7098,True,19
45,76,72,10000,False,20
29,10,14,7128,False,21
20,52,64,37668,False,22
38,68,59,7544,False,23
53,66,64,7607,False,24
2,43,42,13085,False,25
11,29,27,6257,True,26
1,3,4,8064,False,27
37,61,62,7407,False,28
40,68,68,9764,True,29
48,40,38,7600,False,30
8,1,9,10673,False,31
33,36,36,7382,False,32
52,66,67,9201,False,33
51,37,24,13309,False,34
43,55,67,10283,False,35
21,73,80,8293,False,36
18,38,62,7372,False,37
50,64,64,44910,True,38
6,12,50,7523,False,39
34,62,63,7884,False,40
35,72,71,6309,False,41
42,59,53,6074,False,42
44,74,76,6657,False,43
15,71,79,6026,True,44
16,32,29,6004,False,45
31,17,19,5804,False,46
14,57,68,6140,False,47
11,35,27,5726,True,48
15,46,65,7416,True,49
13,12,7,9068,True,50
22,50,36,6017,False,51
5,76,76,6574,False,52
12,44,42,6721,False,53
40,35,31,6475,True,54
23,23,16,8291,False,55
54,75,76,6817,False,56
4,13,20,6828,False,57
47,69,76,6852,False,58
36,75,81,5621,False,59
19,41,47,5548,False,60
