pattern,complexity_response,beauty_response,rt,is_repeated,trial
43,84,92,164013,False,1
26,86,91,3186,False,2
42,86,88,3428,False,3
38,25,29,3881,False,4
24,32,29,2668,False,5
34,30,35,3378,False,6
16,29,33,3295,False,7
21,46,49,7063,False,8
12,52,51,4794,True,9
7,30,28,4835,True,10
31,73,68,10719,False,11
6,23,28,2478,False,12
11,56,47,4070,False,13
3,87,78,3497,False,14
14,52,49,2122,False,15
17,54,50,2045,True,16
35,71,65,2499,False,17
27,71,65,2796,False,18
8,48,51,2820,True,19
41,72,63,2659,True,20
4,24,19,3006,False,21
44,47,52,2654,False,22
49,75,61,3331,False,23
47,68,71,3025,False,24
54,69,70,4864,False,25
32,45,48,51521,False,26
10,53,53,2701,False,27
39,48,51,2600,False,28
13,54,52,2173,True,29
25,53,54,2167,False,30
5,32,33,2100,False,31
52,90,89,4009,False,32
46,78,82,2485,False,33
37,80,75,3261,False,34
8,54,60,2329,True,35
40,68,59,5136,False,36
28,63,58,2433,False,37
36,66,56,2188,False,38
7,45,52,2627,True,39
1,69,58,3380,False,40
18,61,56,2081,False,41
2,46,51,2569,False,42
12,34,36,24117,True,43
20,56,55,43883,False,44
19,50,55,2627,False,45
33,64,69,2355,False,46
23,72,76,2611,False,47
53,91,89,2308,False,48
29,51,51,4651,False,49
17,55,61,3884,True,50
48,62,59,2114,False,51
51,61,54,5894,False,52
41,71,68,2296,True,53
45,70,59,3232,False,54
9,73,59,2090,False,55
50,76,61,2221,False,56
30,77,62,2148,False,57
22,69,63,1732,False,58
15,53,57,1773,False,59
13,50,46,3340,True,60
