pattern,complexity_response,beauty_response,rt,is_repeated,trial
91,85,84,19923,False,1
57,58,59,5125,False,2
99,71,72,5971,True,3
104,63,63,6637,False,4
68,46,45,7429,False,5
84,37,38,5141,False,6
97,17,23,4342,True,7
74,15,15,5514,False,8
67,2,7,5628,False,9
90,19,23,5092,False,10
80,32,32,4768,False,11
103,41,42,5260,False,12
72,51,51,4618,False,13
106,55,57,4428,False,14
75,48,62,5259,False,15
79,34,43,3938,False,16
70,31,41,3719,False,17
66,21,48,3635,False,18
97,24,29,4095,True,19
65,25,24,3238,False,20
71,45,45,3893,False,21
105,32,32,4188,False,22
107,54,53,5533,False,23
101,56,64,3397,False,24
58,46,53,6944,False,25
92,55,56,5906,False,26
94,29,31,4711,False,27
102,48,50,4892,False,28
59,28,31,4221,False,29
85,29,31,16297,False,30
76,31,32,5588,False,31
81,30,32,3870,False,32
93,57,57,3422,False,33
88,34,34,3395,False,34
56,47,46,3393,False,35
82,22,24,3879,False,36
98,35,46,3797,True,37
64,16,27,4484,False,38
87,14,24,3639,False,39
73,7,10,3351,False,40
99,58,59,4593,True,41
69,37,50,3709,True,42
95,31,45,4037,False,43
100,45,57,6801,False,44
108,39,42,3107,False,45
60,9,42,3580,False,46
78,22,29,5355,False,47
89,35,39,3956,False,48
96,25,37,3407,True,49
86,16,18,3627,False,50
98,32,33,4307,True,51
69,37,44,3303,True,52
83,26,34,2972,False,53
77,45,54,3231,True,54
61,15,16,5216,False,55
77,25,34,3816,True,56
55,25,43,3880,False,57
63,57,73,5466,False,58
96,45,51,2585,True,59
62,27,36,3373,False,60
