pattern,complexity_response,beauty_response,rt,is_repeated,trial
204,31,31,13089,False,1
189,16,35,320377,False,2
181,13,51,11641,False,3
167,28,68,10889,False,4
185,48,77,7313,False,5
208,48,49,5661,True,6
168,4,77,7618,True,7
164,57,58,8090,False,8
178,20,63,7241,False,9
163,1,50,14365,False,10
214,77,83,10568,False,11
168,1,89,6249,True,12
184,8,59,18152,False,13
179,17,51,8492,False,14
191,2,11,8484,False,15
177,49,91,9437,False,16
171,10,73,7081,True,17
212,36,66,8419,False,18
173,10,81,5983,False,19
202,15,65,6690,True,20
203,2,74,8217,False,21
170,31,71,27666,False,22
196,72,90,7723,False,23
165,95,94,8434,True,24
172,50,79,5439,False,25
213,80,81,7585,False,26
188,18,46,8171,False,27
190,25,54,5776,True,28
175,0,71,9933,False,29
176,50,91,7129,False,30
207,30,51,6455,False,31
198,72,79,5744,False,32
202,18,55,6553,True,33
190,49,59,5783,True,34
193,15,43,11023,False,35
209,68,88,6728,False,36
216,86,88,7106,False,37
182,49,90,5445,False,38
205,50,51,5752,False,39
215,94,99,9964,False,40
174,72,96,6096,False,41
201,49,61,5303,False,42
165,79,79,5720,True,43
211,70,70,9541,False,44
180,5,32,8388,False,45
200,80,86,5983,False,46
169,49,89,6409,False,47
194,81,98,6967,False,48
186,71,97,7025,False,49
187,58,77,5190,False,50
171,3,93,5487,True,51
166,3,95,7401,False,52
206,50,82,5913,False,53
197,71,89,6177,False,54
192,50,68,7025,False,55
195,52,74,5928,False,56
183,19,75,6682,False,57
210,75,95,5365,False,58
208,51,58,4517,True,59
199,24,63,9513,False,60
