pattern,complexity_response,beauty_response,rt,is_repeated,trial
195,69,69,35603,False,1
194,89,90,7679,True,2
192,57,58,4945,False,3
189,16,7,9604,False,4
174,66,60,11871,False,5
184,35,44,7238,False,6
180,18,22,6690,False,7
181,7,22,7422,False,8
191,17,17,7140,True,9
206,24,23,6476,True,10
186,64,66,17414,False,11
185,85,88,6958,False,12
190,44,44,10539,False,13
208,32,30,7800,True,14
211,57,57,18812,False,15
170,64,59,6761,False,16
179,25,29,9198,False,17
175,0,16,8742,False,18
165,83,83,9224,False,19
213,75,75,9407,False,20
202,19,18,9226,False,21
206,28,34,8643,True,22
191,12,13,5893,True,23
208,30,29,4200,True,24
167,30,44,8018,False,25
199,19,18,5310,False,26
194,92,92,9690,True,27
200,85,89,6163,False,28
171,34,36,10571,False,29
214,77,79,15284,False,30
163,19,19,6156,False,31
176,78,84,5863,True,32
183,53,61,16348,False,33
178,44,39,7761,False,34
168,62,79,8254,False,35
203,23,19,7559,False,36
212,60,53,10259,False,37
193,29,23,6250,False,38
207,54,59,5253,True,39
198,63,64,26252,False,40
188,21,29,4402,False,41
210,64,74,12564,False,42
215,79,79,6603,False,43
187,66,66,18839,False,44
201,30,28,8009,False,45
196,88,87,4788,False,46
197,84,84,3430,False,47
173,27,32,6291,False,48
166,24,45,7392,False,49
216,72,76,32239,False,50
164,53,53,5919,False,51
172,73,78,3831,False,52
177,56,71,4367,False,53
204,36,36,4598,False,54
176,64,75,22236,True,55
205,37,37,6815,False,56
169,54,70,13579,False,57
182,36,36,6587,False,58
209,70,85,7726,False,59
207,52,40,12840,True,60
