pattern,complexity_response,beauty_response,rt,is_repeated,trial
83,33,32,11567,False,1
59,60,68,5280,False,2
80,57,74,4081,True,3
79,82,78,3623,False,4
88,20,21,5993,False,5
93,37,38,7147,False,6
99,89,88,4127,False,7
92,55,61,4029,False,8
64,27,26,3594,False,9
96,62,62,3834,False,10
60,62,71,6798,False,11
100,65,71,3761,True,12
86,60,60,6588,False,13
56,77,77,7137,False,14
73,11,11,4321,False,15
82,5,7,5757,True,16
101,87,95,5523,False,17
95,47,46,3411,False,18
66,55,66,3797,False,19
77,28,40,4621,False,20
90,17,22,4391,False,21
76,40,41,2598,False,22
65,44,46,2134,False,23
108,30,22,4006,False,24
81,81,82,3130,False,25
63,82,89,3123,True,26
80,70,74,2611,True,27
72,54,60,3244,False,28
63,73,86,3221,True,29
106,25,19,3816,False,30
70,52,72,4291,False,31
97,7,2,4554,False,32
107,31,30,3155,False,33
58,9,40,4281,True,34
67,4,12,4921,False,35
61,3,4,3865,False,36
89,62,68,2825,True,37
74,57,53,2920,False,38
71,33,34,3386,False,39
84,6,6,3524,False,40
104,83,87,3622,False,41
105,86,91,3941,False,42
94,84,84,3157,False,43
69,71,71,2521,False,44
100,38,38,4770,True,45
85,27,21,4038,False,46
68,18,14,3211,False,47
87,10,10,2998,False,48
91,69,57,4790,False,49
102,38,29,3584,False,50
57,46,47,4387,False,51
62,3,9,3804,False,52
82,4,4,3840,True,53
55,68,67,4632,False,54
89,75,78,3094,True,55
103,23,23,4404,False,56
58,6,39,3291,True,57
75,47,62,3897,False,58
98,53,60,2816,False,59
78,2,18,3716,False,60
