pattern,complexity_response,beauty_response,rt,is_repeated,trial
80,27,24,15467,False,1
79,30,31,5946,False,2
101,49,62,6013,False,3
92,7,8,4965,False,4
86,35,35,5747,False,5
96,92,96,5580,False,6
104,71,68,4198,False,7
69,16,16,4416,False,8
83,53,57,4565,True,9
59,3,6,3947,False,10
61,72,86,4265,False,11
73,71,88,3168,True,12
62,69,70,5014,False,13
63,59,59,4430,False,14
75,59,57,4216,True,15
98,88,85,3098,True,16
67,26,26,3464,True,17
103,98,100,6084,False,18
102,53,53,3427,False,19
71,29,29,6699,False,20
73,26,21,4082,True,21
97,71,72,3383,False,22
90,86,86,5711,False,23
95,31,29,6831,False,24
55,85,86,3917,False,25
57,97,94,3628,True,26
106,95,92,3515,False,27
87,73,71,3264,False,28
74,36,36,4564,False,29
99,76,74,4548,False,30
93,88,86,3731,False,31
72,52,50,4279,False,32
91,90,96,6298,False,33
89,25,25,5280,False,34
84,84,85,6848,False,35
105,26,24,5764,False,36
66,50,57,4482,False,37
81,32,48,4296,False,38
108,80,80,5882,False,39
56,70,78,8596,False,40
57,86,86,4269,True,41
64,5,27,5511,False,42
70,10,21,4563,False,43
75,11,15,3717,True,44
83,58,63,5797,True,45
100,76,82,4348,False,46
76,47,33,5832,False,47
94,65,64,5000,False,48
58,0,0,7278,False,49
98,60,68,3447,True,50
65,0,0,6697,False,51
107,74,80,4498,False,52
88,93,93,4466,False,53
60,2,4,4778,False,54
82,58,59,4699,False,55
77,70,76,5963,False,56
68,40,40,5448,False,57
67,2,24,5132,True,58
85,68,69,6179,False,59
78,4,8,5316,False,60
