pattern,complexity_response,beauty_response,rt,is_repeated,trial
62,25,32,11565,False,1
94,87,86,8694,True,2
85,88,82,10040,False,3
103,74,89,8058,False,4
58,47,55,7062,False,5
55,68,68,11334,False,6
95,70,91,8482,False,7
100,75,80,5442,True,8
83,59,69,7230,False,9
64,41,54,9001,True,10
68,90,94,6255,False,11
78,16,28,6545,False,12
77,86,85,6629,False,13
76,89,87,5118,False,14
98,91,91,4958,False,15
104,72,75,5739,True,16
92,91,89,4724,False,17
94,89,92,6245,True,18
61,18,16,5382,False,19
104,63,69,4603,True,20
101,62,69,5395,False,21
102,85,85,4717,False,22
66,64,70,5153,False,23
99,87,86,4604,False,24
56,87,89,4456,False,25
89,83,84,4208,True,26
97,42,47,4683,False,27
86,88,86,4394,False,28
67,17,16,5616,False,29
107,93,90,5084,False,30
90,82,87,4987,False,31
80,61,65,5185,False,32
81,57,65,4859,False,33
70,85,88,4925,False,34
72,58,68,4754,False,35
100,75,85,3746,True,36
96,85,90,4745,True,37
91,88,96,6032,False,38
65,79,85,5191,False,39
71,72,81,6140,False,40
84,88,86,4684,False,41
82,51,40,6399,False,42
106,80,79,4334,False,43
96,84,94,5595,True,44
87,79,81,5059,False,45
63,85,93,5927,False,46
59,69,76,5974,False,47
108,87,72,4840,False,48
93,76,74,4245,False,49
69,77,79,5781,False,50
89,84,79,5799,True,51
74,80,74,9379,False,52
64,81,87,6059,True,53
88,79,69,5590,False,54
79,78,69,6018,False,55
75,77,76,5471,False,56
73,82,78,4258,False,57
57,80,81,4615,False,58
60,79,79,4195,False,59
105,82,69,4029,False,60
