pattern,complexity_response,beauty_response,rt,is_repeated,trial
35,60,50,6183,True,1
33,68,53,3069,False,2
53,85,71,3335,True,3
47,78,66,2679,False,4
30,35,37,2623,False,5
48,43,35,3247,False,6
18,24,21,2654,False,7
1,29,25,6432,True,8
28,32,27,2469,False,9
38,15,13,3352,False,10
52,62,54,3007,False,11
29,65,46,2909,False,12
40,31,31,3463,False,13
17,26,23,2846,False,14
54,54,41,2360,False,15
11,63,50,2622,True,16
49,25,22,4855,False,17
39,25,23,2607,False,18
15,21,17,4112,False,19
34,54,34,2630,True,20
2,46,34,3583,False,21
51,39,32,3254,False,22
13,16,15,4063,False,23
4,1,3,4110,False,24
34,49,40,4015,True,25
26,32,24,2734,False,26
43,45,34,3565,False,27
24,32,19,3015,False,28
53,34,28,3008,True,29
11,33,25,3110,True,30
31,56,72,5030,False,31
19,52,40,2872,False,32
32,44,34,3103,False,33
50,36,36,3446,True,34
16,36,29,3375,False,35
37,30,26,3454,False,36
23,33,27,3992,False,37
21,40,33,2623,False,38
27,28,20,3031,False,39
50,45,28,4071,True,40
12,23,17,3350,False,41
10,20,13,2399,False,42
46,35,22,2214,False,43
25,43,26,2327,False,44
6,7,5,3183,False,45
41,37,34,2910,False,46
3,70,67,4623,False,47
45,51,55,3183,False,48
7,24,63,3040,False,49
14,23,51,2128,False,50
9,23,19,2837,False,51
36,41,52,2720,False,52
20,22,58,3263,False,53
1,30,19,3061,True,54
35,48,22,2519,True,55
22,32,38,3008,False,56
44,33,28,2118,False,57
42,36,27,2279,False,58
8,16,11,3133,False,59
5,24,16,2512,False,60
