pattern,complexity_response,beauty_response,rt,is_repeated,trial
101,25,64,29928,True,1
61,8,18,24592,True,2
100,29,54,9025,False,3
96,40,47,11591,False,4
64,4,27,9536,False,5
101,31,53,7674,True,6
83,17,54,11110,True,7
81,14,65,8680,False,8
80,23,57,9950,False,9
86,41,77,9619,False,10
72,9,70,10423,False,11
71,56,92,19506,False,12
83,33,56,8720,True,13
67,3,16,9979,False,14
95,54,77,21869,False,15
58,2,24,8097,True,16
98,43,78,7887,False,17
108,65,96,16045,False,18
65,3,37,13292,False,19
99,33,71,64467,True,20
75,51,84,9110,False,21
94,57,92,7671,False,22
103,25,37,10504,False,23
89,34,51,36537,False,24
87,14,52,16281,False,25
59,3,40,6475,False,26
58,3,33,7089,True,27
60,3,54,10697,False,28
102,60,84,13775,False,29
104,40,61,12285,False,30
76,53,79,8040,True,31
57,74,75,18935,False,32
70,20,39,6151,False,33
62,2,17,9474,False,34
77,22,60,8270,False,35
69,35,73,9966,False,36
84,53,71,47483,False,37
106,54,73,11096,False,38
61,4,4,11728,True,39
85,30,56,8397,False,40
73,18,34,12191,False,41
97,5,7,27736,False,42
93,67,83,10892,False,43
56,53,73,14353,False,44
76,30,71,24845,True,45
91,52,70,6808,False,46
82,6,18,9155,False,47
107,80,94,7769,False,48
63,15,71,7649,False,49
88,47,68,9124,False,50
74,17,37,9242,False,51
79,9,51,9701,False,52
66,8,53,6938,False,53
105,49,80,22121,False,54
55,10,9,34207,False,55
78,4,4,22584,False,56
68,12,39,9552,False,57
92,44,72,9040,False,58
99,53,73,6907,True,59
90,30,72,11172,False,60
