pattern,complexity_response,beauty_response,rt,is_repeated,trial
44,93,95,19231,False,1
25,12,11,10138,True,2
37,32,33,8583,False,3
28,49,49,4929,False,4
53,52,54,7565,False,5
34,91,92,7029,True,6
46,65,66,7185,False,7
17,61,60,7819,False,8
48,23,20,9353,False,9
34,73,74,9683,True,10
6,68,68,13221,False,11
38,75,73,31829,False,12
51,26,27,23355,True,13
42,19,18,8647,False,14
20,65,65,9441,False,15
14,60,60,7497,False,16
25,26,26,13027,True,17
5,22,21,7593,False,18
10,18,18,8231,False,19
15,27,27,20933,False,20
9,3,4,10585,False,21
24,63,62,5719,False,22
35,19,19,10203,False,23
30,13,14,9365,False,24
12,11,14,6117,False,25
47,10,14,7391,False,26
4,18,50,14099,False,27
33,38,38,16417,False,28
54,48,47,7987,False,29
22,29,30,5695,False,30
45,27,31,6695,False,31
51,8,7,9301,True,32
39,48,48,7761,False,33
11,18,18,7287,False,34
43,14,15,7765,False,35
16,11,13,4354,True,36
7,66,83,22978,False,37
29,49,49,7705,False,38
32,91,95,9199,False,39
49,66,62,12821,False,40
31,16,18,20483,False,41
1,18,19,13067,False,42
23,46,46,6807,False,43
3,82,82,15981,False,44
2,74,75,4885,True,45
21,64,65,6499,False,46
40,66,65,6485,False,47
41,30,31,5543,False,48
50,52,52,5171,False,49
8,17,14,6013,True,50
18,47,52,6255,False,51
36,83,82,13047,False,52
52,50,50,7735,False,53
2,73,72,6331,True,54
16,24,24,5015,True,55
26,67,67,8603,False,56
19,18,18,33817,False,57
13,9,7,6787,False,58
8,13,10,4567,True,59
27,63,62,4093,False,60
