pattern,complexity_response,beauty_response,rt,is_repeated,trial
91,52,62,19524,True,1
73,12,15,3536,False,2
82,31,50,6261,False,3
101,50,47,14636,False,4
55,43,57,4579,False,5
91,60,62,4040,True,6
89,74,78,15531,False,7
71,79,77,4589,False,8
72,30,37,2797,False,9
106,78,71,4047,False,10
90,67,68,31431,False,11
69,51,64,2951,False,12
99,76,83,2063,False,13
78,22,27,2380,False,14
58,25,39,3764,False,15
79,63,66,3228,True,16
93,79,85,2139,False,17
83,62,72,2684,True,18
108,77,82,4243,False,19
80,26,31,2555,False,20
56,87,87,2504,False,21
102,93,91,2056,False,22
61,16,15,4795,False,23
107,67,70,2814,False,24
104,55,62,3425,True,25
67,7,6,18616,True,26
74,61,68,8736,False,27
104,75,76,2373,True,28
94,75,76,2413,True,29
76,76,76,3948,False,30
75,74,75,12075,False,31
94,68,74,3146,True,32
57,87,85,13452,False,33
60,37,44,2812,False,34
100,60,67,2182,False,35
87,74,77,6375,False,36
79,65,71,3574,True,37
92,68,68,3380,False,38
81,57,59,2739,False,39
83,58,66,2479,True,40
85,68,78,2681,False,41
98,74,81,2248,False,42
88,53,57,2760,False,43
68,20,41,3543,False,44
67,2,10,3018,True,45
95,69,70,2450,False,46
66,56,60,5949,False,47
63,71,72,2568,False,48
97,19,18,17452,False,49
77,45,53,2904,False,50
103,71,74,2628,False,51
105,59,65,2310,False,52
64,0,0,4371,False,53
84,49,58,2595,False,54
96,57,62,2809,False,55
70,36,42,1816,False,56
59,27,53,3310,False,57
62,15,31,4027,False,58
86,60,62,28502,False,59
65,33,45,2751,False,60
