pattern,complexity_response,beauty_response,rt,is_repeated,trial
103,24,24,30605,False,1
89,29,29,45040,False,2
61,1,1,12974,True,3
68,30,31,10407,False,4
62,27,27,16336,False,5
56,60,61,74664,True,6
105,82,83,14947,False,7
93,57,57,10703,False,8
71,61,61,11792,False,9
84,57,58,13706,False,10
81,72,72,11035,False,11
80,23,22,15538,False,12
78,2,2,12242,True,13
91,23,23,14146,False,14
106,57,57,11199,False,15
61,3,3,7881,True,16
77,40,39,12560,False,17
60,35,35,10372,True,18
66,59,61,10388,False,19
75,28,28,9455,True,20
58,59,57,14334,False,21
101,88,89,10269,False,22
60,64,64,10623,True,23
86,40,40,6781,True,24
75,32,32,5236,True,25
98,15,14,9774,False,26
104,64,64,7197,False,27
94,19,20,5203,False,28
79,51,51,5958,False,29
82,4,5,6412,False,30
102,30,29,9999,False,31
86,41,41,10067,True,32
95,32,33,5786,False,33
63,67,66,7192,False,34
65,38,38,11703,False,35
55,82,81,8772,False,36
56,56,57,8922,True,37
76,66,67,11939,False,38
92,36,35,8605,False,39
97,3,3,20584,False,40
99,90,90,12874,False,41
107,72,72,9585,False,42
74,2,2,8666,False,43
70,42,42,10005,False,44
83,6,7,8837,False,45
100,2,2,9567,False,46
69,80,81,9989,False,47
73,1,1,11402,False,48
72,63,63,7373,False,49
88,14,14,7905,False,50
67,8,9,22127,False,51
108,67,66,6282,False,52
57,35,36,7066,False,53
64,13,14,9753,False,54
87,23,25,6177,False,55
85,5,6,8354,False,56
90,9,10,6307,False,57
78,14,15,10829,True,58
59,73,72,7946,False,59
96,32,33,7472,False,60
