pattern,complexity_response,beauty_response,rt,is_repeated,trial
34,87,87,28082,True,1
40,50,50,18294,True,2
47,51,51,20584,False,3
16,50,50,18498,False,4
13,33,33,12357,False,5
37,50,50,5226,False,6
6,49,83,15091,True,7
30,79,79,18187,False,8
15,51,80,11420,False,9
48,50,51,8773,False,10
23,40,41,14482,False,11
6,50,83,32741,True,12
54,50,50,7787,False,13
29,50,51,5717,False,14
11,48,49,6412,False,15
38,50,82,20297,True,16
2,51,52,17881,False,17
1,18,18,45763,False,18
19,51,52,7138,False,19
24,89,91,10125,False,20
36,88,90,5373,True,21
50,88,89,6695,False,22
10,51,52,20123,False,23
4,18,51,7241,False,24
22,49,50,5943,False,25
52,61,61,15265,False,26
49,61,62,10757,False,27
21,50,51,7491,False,28
44,88,88,8585,False,29
34,88,89,4827,True,30
18,50,50,12335,False,31
3,51,52,8851,False,32
17,81,90,7255,False,33
53,51,51,6125,True,34
38,51,52,19611,True,35
41,67,67,21491,False,36
53,50,51,5633,True,37
32,90,89,5849,False,38
35,66,67,10789,False,39
9,27,51,15529,False,40
14,49,70,8617,False,41
25,29,53,12265,False,42
51,18,18,13257,False,43
8,17,17,7115,False,44
33,63,50,13584,False,45
27,90,89,6287,False,46
43,69,70,16563,False,47
20,88,88,5287,False,48
26,72,52,12187,False,49
7,90,90,14163,False,50
45,50,51,9351,False,51
36,89,90,5241,True,52
28,88,89,11435,False,53
39,88,88,6912,False,54
42,51,51,6539,False,55
40,50,51,4763,True,56
5,70,52,17617,False,57
46,88,89,9795,False,58
12,50,51,4663,False,59
31,51,52,4351,False,60
