subject,gender,age,nationality,art_training_scores,complexity_strategy,most_complex,complexity difference,open_comments,num_failed_attention_checks,num_attention_checks,set,time_taken
2hdajrrv,male,38,American,"[4, 4, 3, 4, 4, 4, 3, 0, 4, 5, 0]",How the pattern looked,Those with multiple design elements,Some patterns seemed as if they could be more complicated if I could see more of the image.,,1,2,4,10.466666666666667
j6oq4fhk,female,50,Japan,"[3, 1, 1, 2, 1, 1, 2, 1, 0, 1, 0]",More black squares = higher complexity,Random patterns with lots of black squares,I assumed higher complexity when more portions were covered,,1,3,4,10.4
fafl6odp,male,35,US,"[2, 3, 3, 3, 3, 3, 3, 0, 5, 5, 3]",How busy it seems ,Busier to the eyes ,Yes.  the visible pattern is what you can see.  Imagined pattern is to predict what is behind ,none,3,3,4,11.566666666666666
7znvy49v,female,40,american,"[3, 2, 2, 2, 1, 2, 2, 0, 0, 0, 0]",how many squares were colored in,the ones with to many ,"yes, sometimes I couldnt tell if the pattern would become more complex or less complex if the rest was reveiled ",,0,2,4,8.266666666666667
u1ertlf5,male,19,American,"[4, 3, 3, 4, 4, 3, 1, 0, 1, 6, 0]",amount of variation in the pattern,the ones that seemed to have no pattern entirely,not particularly,,0,3,4,14.083333333333334
dmh4wq9e,female,24,"American, white ","[0, 2, 1, 3, 0, 0, 0, 0, 1, 1, 1]",black squares that were touching were easier than those surrounded by white squares ,multiple black squares that were not touching other black squares,"yes, the visible pattern was easier than the imained complete pattern",,0,3,4,11.883333333333333
n7bydxzt,male,32,Turkish,"[3, 3, 3, 4, 3, 3, 1, 0, 2, 6, 1]",Whether there was a pattern and the complexity of the pattern,the ones that look more random,no,no,1,3,4,11.0
bnowctbl,female,37,American,"[4, 4, 4, 4, 3, 2, 1, 2, 3, 5, 3]","It kind of changed over time. I rated it based on the number of pixels as first, but as we went on, if I could clearly identify a pattern, I marked it as less complex.",The ones where I couldn't imagine what the greyed out areas would look like,"Yes- if there was more area covered, I marked it as more complex because there's more space to imagine possible combinations.","Nope, this was a pretty cool experiment!",0,2,4,10.583333333333334
j49mkrgg,female,19,white,"[3, 2, 2, 3, 3, 3, 2, 0, 1, 4, 0]",If there seemed to be a sort of pattern in the open area I assumed it would be the same in the grey area,The ones where a lot was filled in with squares or where there was only a little visable,"It depended, for some of them you could guess pretty easily and they weren't complex, however some were harder and more different",Nope:),1,2,4,9.166666666666666
70rnkvk8,male,33,American,"[4, 4, 3, 4, 4, 4, 4, 4, 3, 6, 1]",Number of black vs white pixels and the logic or lack thereof to their layout.,Detailed geometric patterns.,"Yes. If only a very small amount of the pattern was visible but there were a number of black and white pixels, I rated the imagined pattern as more complex.",,0,2,4,8.35
djwzxrv7,female,27,USA,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 3]","If I could see an obvious repeated pattern, I rated it less complex. Or if there were larger areas in one color I rated it less complex. ",The QR Code-looking patterns were most complex to me.,"Yes, in the imagined one if I thought the pattern may multiply, I rated it more complex.",,0,3,4,11.35
a24vx295,female,27,american,"[1, 1, 2, 1, 1, 1, 1, 0, 0, 2, 0]",space taken up and the difference and patterns of white and black pixels,patterns with a lot of alternating colored pixels,yes because I knew some were showing less complexity in the spot,no,0,3,4,10.05
98r375ny,male,36,latino,"[2, 2, 1, 2, 2, 2, 2, 0, 0, 1, 0]",I try to see if the patterns looked the same and tried to compare it to the unknown gray shadow ones.,The more gray color covered the patterns the harder it was to guest the images.,not sure I just tried my best,n/a,0,2,4,17.066666666666666
t76roqh2,female,51,american,"[4, 2, 1, 3, 1, 2, 1, 0, 0, 6, 0]",I considered how much of the chart was gray and how much contrast there was between the black and white.,Those without large blocks of a single color.,"Yes, usually. Very symmetric patterns had little difference, but abstract ones left a lot of room for unexpected complexity.",nope,1,3,4,24.7
