,subject,set,pattern,visible_complexity_rating,imagined_complexity_rating,rtime,trial,LSC,intricacy,num_colours,num_revealed,underlying_LSC,underlying_intricacy
0,0yqv9u06,4,204,37,25,6695,1,0.8311935136254743,60,3,54,0.9021786191903493,86.0
1,0yqv9u06,4,214,46,37,4644,2,1.0686073595373673,95,3,37,0.9676097794179505,134.0
2,0yqv9u06,4,179,17,32,2955,3,0.4262352800194719,13,3,31,0.5366913127546721,30.0
3,0yqv9u06,4,195,12,10,2614,4,0.6989641540059465,44,3,31,0.8986092320669834,78.0
4,0yqv9u06,4,178,7,3,3005,5,0.4079937507842207,18,3,8,0.9668164998304252,98.0
5,0yqv9u06,4,205,83,81,2955,6,0.854591723659465,45,3,71,0.586131803873728,40.0
6,0yqv9u06,4,212,49,60,4843,7,1.0420777811240596,47,3,41,0.7266153533971146,106.0
7,0yqv9u06,4,186,40,42,2723,8,0.5948589818533224,36,3,15,0.9804606443733836,118.0
8,0yqv9u06,4,165,90,96,2887,9,0.9724226038193264,146,2,81,0.9724226038193264,146.0
9,0yqv9u06,4,196,76,75,3805,10,0.7219807493093688,61,3,38,0.9417446189245124,131.0
10,0yqv9u06,4,207,51,58,2793,11,0.8864934272407439,36,3,42,0.6744294655429091,36.0
11,0yqv9u06,4,177,22,16,3235,12,0.3949434703252076,23,3,9,0.9479751547424754,47.0
12,0yqv9u06,4,174,32,42,2553,13,0.3166127993157546,55,3,17,0.9365506107841312,177.0
13,0yqv9u06,4,206,60,54,3335,14,0.8688173112839913,39,3,26,0.8237862528535181,22.0
14,0yqv9u06,4,208,50,51,2719,15,0.9110842342660554,35,3,51,0.8559935464734297,29.0
15,0yqv9u06,4,170,11,16,2931,16,0.3264826500049776,19,3,9,0.8721238123967918,127.0
16,0yqv9u06,4,182,45,33,2631,17,0.4895868455541154,15,3,16,0.8237862528535181,22.0
17,0yqv9u06,4,167,66,56,5433,18,0.1509014706290701,16,3,3,0.1503843675749793,26.0
18,0yqv9u06,4,194,46,47,2507,19,0.6684439589776937,49,3,25,0.9806767876398864,110.0
19,0yqv9u06,4,210,40,43,2274,20,0.7798671275450725,166,3,24,0.2991310414639597,676.0
20,0yqv9u06,4,208,61,65,3858,21,0.9110842342660554,35,3,51,0.8559935464734297,29.0
21,0yqv9u06,4,169,31,32,2749,22,0.3091753452749824,18,3,8,0.970575943324718,106.0
22,0yqv9u06,4,200,49,47,2117,23,0.7877732955340623,46,3,43,0.8493127920205841,66.0
23,0yqv9u06,4,213,38,45,2827,24,0.9289439316455628,140,3,67,0.9365506107841312,177.0
24,0yqv9u06,4,203,4,5,3131,25,0.8974010156175157,8,3,44,0.436944813114559,3.0
25,0yqv9u06,4,183,36,37,2339,26,0.4453448668358873,51,3,25,0.8434276513958406,126.0
26,0yqv9u06,4,215,10,5,2539,27,1.1860100908650992,117,3,52,0.9297137410864044,113.0
27,0yqv9u06,4,189,46,45,2419,28,0.6414602128509337,19,3,35,0.1179472434569747,7.0
28,0yqv9u06,4,206,24,28,1823,29,0.8688173112839913,39,3,26,0.8237862528535181,22.0
29,0yqv9u06,4,191,93,92,3291,30,0.677246125180925,6,3,74,0.436944813114559,3.0
30,0yqv9u06,4,198,45,53,3105,31,0.7910278800815163,37,3,40,0.7973260104912844,32.0
31,0yqv9u06,4,197,1,7,3039,32,0.7167609284843239,73,3,46,0.9765683593847632,112.0
32,0yqv9u06,4,184,40,40,4539,33,0.5595173433892039,18,3,18,0.5366913127546721,30.0
33,0yqv9u06,4,195,27,34,2025,34,0.6989641540059465,44,3,31,0.8986092320669834,78.0
34,0yqv9u06,4,166,2,4,3616,35,0.1031037488543488,7,3,4,0.846994161972378,84.0
35,0yqv9u06,4,213,39,28,2881,36,0.9289439316455628,140,3,67,0.9365506107841312,177.0
36,0yqv9u06,4,172,10,26,2875,37,0.3507988707359171,21,3,15,0.946626538265491,63.0
37,0yqv9u06,4,188,17,17,2795,38,0.638008520198901,21,3,31,0.586131803873728,40.0
38,0yqv9u06,4,181,7,10,2493,39,0.4791830882294255,13,3,11,0.3726122402818334,114.0
39,0yqv9u06,4,175,4,5,2379,40,0.3989856936066486,8,3,13,0.1179472434569747,7.0
40,0yqv9u06,4,185,7,11,58777,41,0.6051645846170632,29,3,13,0.846994161972378,84.0
41,0yqv9u06,4,197,13,13,3287,42,0.7167609284843239,73,3,46,0.9765683593847632,112.0
42,0yqv9u06,4,171,10,5,15179,43,0.356342238577416,13,3,8,0.7702311617391767,62.0
43,0yqv9u06,4,176,7,6,6529,44,0.3818311282520559,27,3,10,0.960681764435038,87.0
44,0yqv9u06,4,193,6,7,2711,45,0.6797611222595863,36,3,29,0.7540329631872313,74.0
45,0yqv9u06,4,202,3,3,2075,46,0.862463389716247,30,3,41,0.5366913127546721,30.0
46,0yqv9u06,4,216,28,37,1931,47,1.3011256677898475,81,3,53,0.9479751547424754,47.0
47,0yqv9u06,4,163,24,21,2817,48,0.347287799177756,2,2,81,0.347287799177756,2.0
48,0yqv9u06,4,168,4,7,2427,49,0.176291500995151,9,3,3,0.8134343165694118,62.0
49,0yqv9u06,4,192,30,25,2321,50,0.6444621630619757,44,3,31,0.7266153533971146,106.0
50,0yqv9u06,4,164,6,11,2363,51,0.8820969625736855,30,2,81,0.8820969625736855,30.0
51,0yqv9u06,4,201,6,12,9067,52,0.8374632620981224,27,3,47,0.916858816679865,28.0
52,0yqv9u06,4,209,10,14,2629,53,0.9297299128467926,56,3,23,0.846994161972378,84.0
53,0yqv9u06,4,199,30,18,2687,54,0.6734325814767176,120,3,44,0.3726122402818334,114.0
54,0yqv9u06,4,190,26,29,2597,55,0.6190789875997389,38,3,41,0.7702311617391767,62.0
55,0yqv9u06,4,211,16,18,2153,56,0.958806385889828,77,3,71,0.8986092320669834,78.0
56,0yqv9u06,4,187,45,39,1945,57,0.613460497492042,29,3,33,0.8134343165694118,62.0
57,0yqv9u06,4,173,28,27,2495,58,0.3395589513172429,31,3,14,0.3726122402818334,114.0
58,0yqv9u06,4,168,4,7,2265,59,0.176291500995151,9,3,3,0.8134343165694118,62.0
59,0yqv9u06,4,180,5,6,2355,60,0.4493649940130184,13,3,28,0.3709748019792861,17.0
60,1wed2ljr,1,37,67,66,19959,1,0.8052085886012976,32,3,36,0.759619233755914,38.0
61,1wed2ljr,1,13,7,7,6069,2,0.3752558173901754,9,3,74,0.2255708268386491,6.0
62,1wed2ljr,1,5,19,54,12582,3,0.156049862497609,14,3,4,0.714319788998292,186.0
63,1wed2ljr,1,47,82,82,15279,4,1.0022813680192917,46,3,59,0.9479751547424754,47.0
64,1wed2ljr,1,12,17,44,42150,5,0.358020219857293,20,3,10,0.7763934740203636,32.0
65,1wed2ljr,1,11,14,43,11727,6,0.3591837367869553,9,3,23,0.8559935464734297,29.0
66,1wed2ljr,1,9,6,6,8742,7,0.3606001089282001,4,3,15,0.377464279124328,11.0
67,1wed2ljr,1,44,79,97,9271,8,0.8380444480927665,82,3,56,0.9765683593847632,112.0
68,1wed2ljr,1,53,79,84,8878,9,1.242279539723982,133,3,33,0.8933253295145774,46.0
69,1wed2ljr,1,20,24,57,15101,10,0.4701754606993975,22,3,13,0.8352107704266692,63.0
