"Id","model","AIC","BIC","Concordance.train","Concordance.test","log.rank.p","likelihood.ratio.p"
"1","Surv(click_id, move_on) ~  Subject","8629.48007217304","8758.9907958014","0.772950522208772","0.765294342190593","1.05962671294166e-92","7.18003004788406e-101"
"2","Surv(click_id, move_on) ~  uLSC + uInt + Subject","8625.0433021286","8763.8047917304","0.772423980104104","0.763384957550202","2.20936028115036e-92","3.72200887040684e-100"
"3","Surv(click_id, move_on) ~  vLSC + vInt + Subject","8624.81216408648","8763.57365368828","0.768969510618169","0.761800208656632","1.56439701731003e-92","5.08333173893824e-100"
"4","Surv(click_id, move_on) ~  uLSC + vLSC + Subject","8625.59465866735","8764.35614826915","0.770397502081454","0.762000027278378","1.82728207091944e-92","3.71277646509052e-100"
"5","Surv(click_id, move_on) ~  uInt + vInt + Subject","8629.45023861823","8768.21172822004","0.77406821166845","0.764722211215536","5.04939256884198e-92","6.95409122417868e-100"
"6","Surv(click_id, move_on) ~  uLSC + uInt + vLSC + vInt + Subject","8626.3739979776","8774.38625355286","0.77160676910655","0.762141086377856","1.1990171264513e-91","3.37260799702952e-99"
"7","Surv(click_id, move_on) ~  uLSC * vLSC + Subject","8450.84387965133","8594.23075223987","0.81500755283177","0.805654790294937","2.39403272493468e-131","2.66877721807295e-116"
"8","Surv(click_id, move_on) ~  uInt * vInt + Subject","8590.36766920332","8733.75454179185","0.78221873011853","0.77215707631981","2.82640921609455e-99","2.23367264863016e-102"
"9","Surv(click_id, move_on) ~  uLSC * uInt + Subject","8626.5674819431","8769.95435453163","0.772557021411575","0.762622030389849","9.17786193156391e-92","1.62344903763656e-99"
"10","Surv(click_id, move_on) ~  vLSC * vInt + Subject","8619.9016172701","8763.28848985863","0.770630341716816","0.760284361401379","1.29466856975265e-92","1.45018728653789e-99"
"11","Surv(click_id, move_on) ~  uLSC * vLSC + uInt * vInt + Subject","8423.05356425573","8580.31658580445","0.821855985740059","0.811274068848788","2.94218775289013e-135","3.85248484899333e-116"
"12","Surv(click_id, move_on) ~  uLSC * uInt + vLSC * vInt + Subject","8620.71456924734","8777.97759079605","0.773688636454513","0.761072937149798","1.75275513155284e-91","2.44724846741178e-98"
"13","Surv(click_id, move_on) ~  uLSC + uInt + vLSC + vInt + uLSC:vInt + vLSC:uInt + Subject","8619.55107216782","8776.81409371654","0.772484211476181","0.760396679561591","3.92143007755255e-92","9.28948068582916e-99"
"14","Surv(click_id, move_on) ~  uLSC + vLSC + uInt + vInt + uLSC:vLSC + uInt:vInt + uLSC:uInt + vLSC:vInt + uLSC:vInt + vLSC:uInt + Subject","8408.76668774958","8584.53124124521","0.823366292210372","0.80979588327387","6.40783618628143e-138","2.34367928759513e-115"
"15","Surv(click_id, move_on) ~  current_change_in_LSC + current_change_in_intricacy + Subject","8627.74887877588","8766.51036837769","0.772274433025676","0.763718610360052","3.83776889584933e-93","4.09279790712972e-101"
"16","Surv(click_id, move_on) ~  uLSC + uInt + vLSC + vInt + current_change_in_LSC + current_change_in_intricacy + Subject","8617.61425928978","8774.87728083849","0.773396033653186","0.764781713743222","1.37722217681677e-94","1.25913257685104e-101"
"17","Surv(click_id, move_on) ~  uLSCsq + uIntsq + vLSCsq + vIntsq + Subject","8316.76909555431","8464.78135112957","0.835165597786858","0.826415594715673","7.21959060931289e-159","2.47431619433863e-120"
"18","Surv(click_id, move_on) ~  uLSCsq + vLSCsq + uIntsq + vIntsq + uLSC:vLSC + uInt:vInt + Subject","8304.29793226515","8461.56095381386","0.838320355161741","0.829766506503313","2.99889159280572e-160","8.17340014442481e-137"
"19","Surv(click_id, move_on) ~  uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + Subject","8304.29793226515","8461.56095381386","0.838320355161741","0.829766506503313","2.99889159280572e-160","8.17340014442481e-137"
"20","Surv(click_id, move_on) ~  (uLSCsq + vLSCsq + uLSC:vLSC) + (uIntsq + vIntsq + uInt:vInt) + (uLSC + vLSC):(uInt + vInt) + Subject","8300.82386128286","8476.58841477849","0.839292791182066","0.829169016291587","5.13909519241772e-159","3.37516427680152e-135"
"21","Surv(click_id, move_on) ~  uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + Subject","8254.30683678131","8420.82062430348","0.837952268436545","0.828078507051356","2.02708320127802e-169","1.49530930989655e-127"
"22","Surv(click_id, move_on) ~  uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + Subject","8219.2805318229","8395.04508531853","0.842949131848555","0.833279619186435","1.71281271977705e-176","6.99880438662588e-160"
"23","Surv(click_id, move_on) ~  uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + uLSC:uInt + vLSC:vInt + Subject","8213.59607442169","8398.61139389077","0.843486327384451","0.833019308134009","3.97666303761582e-176","2.2956203316926e-159"
"24","Surv(click_id, move_on) ~  uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + uLSC:uInt + vLSC:vInt + uLSC:vInt + uInt:vLSC + Subject","8210.50124856033","8404.76733400286","0.843676584277314","0.833829372349781","1.26166238573965e-176","7.04201798350616e-161"
