"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","num_clicks ~ 1 + (1 | Subject)","7486.6","7500.9","985.8","0.5303","0.0004745","0.502","0.001802","17.31","0.08101","17.85","0.3148"
"2","num_clicks ~ uLSC + uInt + (1 | Subject)","7487.8","7511.6","951.6","0.5309","0.0004539","0.4998","0.001692","17.3","0.0772","17.89","0.2852"
"3","num_clicks ~ vLSC + vInt + (1 | Subject)","7486.9","7510.7","848","0.5315","0.0004825","0.4992","0.001774","17.29","0.0654","17.9","0.235"
"4","num_clicks ~ uLSC + vLSC + (1 | Subject)","7487.4","7511.2","946.4","0.5308","0.0004589","0.5003","0.001746","17.3","0.07792","17.88","0.2956"
"5","num_clicks ~ uInt + vInt + (1 | Subject)","7486.6","7510.4","890.2","0.5313","0.000487","0.5003","0.00176","17.29","0.06864","17.89","0.2498"
"6","num_clicks ~ uLSC + uInt + vLSC + vInt + (1 | Subject)","7487.4","7520.7","866.8","0.5318","0.0004698","0.4985","0.001702","17.28","0.0671","17.92","0.2395"
"7","num_clicks ~ uLSC * vLSC + (1 | Subject)","7300.8","7329.3","597.6","0.6204","0.0001275","0.5863","0.0002676","15.56","0.04929","16.38","0.2959"
"8","num_clicks ~ uInt * vInt + (1 | Subject)","7457.4","7485.9","956.7","0.548","0.0003541","0.5173","0.001227","16.98","0.07775","17.56","0.2673"
"9","num_clicks ~ uLSC * uInt + (1 | Subject)","7487.7","7516.2","992.4","0.5312","0.0004712","0.4991","0.001801","17.3","0.08054","17.9","0.298"
"10","num_clicks ~ vLSC * vInt + (1 | Subject)","7485.3","7513.8","735.1","0.5334","0.0004523","0.4997","0.001666","17.26","0.05382","17.91","0.1856"
"11","num_clicks ~ uLSC * vLSC + uInt * vInt + (1 | Subject)","7268.3","7311.1","771.7","0.6361","7.623e-05","0.6001","0.0001515","15.24","0.05598","16.06","0.3668"
"12","num_clicks ~ uLSC * uInt + vLSC * vInt + (1 | Subject)","7484.4","7527.2","810.3","0.5346","0.0004569","0.4993","0.001696","17.23","0.0596","17.92","0.2053"
"13","num_clicks ~ uLSC + uInt + vLSC + vInt + uLSC:vInt + vLSC:uInt + (1 | Subject)","7484","7526.8","951.2","0.5337","0.0005131","0.4936","0.002137","17.25","0.07147","18.01","0.304"
"14","num_clicks ~ uLSC + vLSC + uInt + vInt + uLSC:vLSC + uInt:vInt + uLSC:uInt + vLSC:vInt + uLSC:vInt + vLSC:uInt + (1 | Subject)","7258.2","7320","696.8","0.6402","8.298e-05","0.598","0.0001348","15.15","0.05041","16.11","0.3173"
"15","num_clicks ~ final_change_in_LSC + final_change_in_intricacy + (1 | Subject)","7486.6","7510.3","1046.1","0.5316","0.0004451","0.5025","0.001655","17.29","0.08763","17.85","0.3311"
"16","num_clicks ~ uLSC + uInt + vLSC + vInt + final_change_in_LSC + final_change_in_intricacy + (1 | Subject)","7484","7526.8","798.6","0.5346","0.0004509","0.5007","0.001622","17.23","0.06158","17.89","0.2013"
"17","num_clicks ~ uLSCsq + uIntsq + vLSCsq + vIntsq + (1 | Subject)","7303.3","7336.6","17.4","0.6243","0.0003741","0.5938","0.001305","15.48","0.002032","16.16","0.03827"
"18","num_clicks ~ uLSCsq + vLSCsq + uIntsq + vIntsq + uLSC:vLSC + uInt:vInt + (1 | Subject)","7284.1","7326.9","83.8","0.6324","0.0002972","0.599","0.0009646","15.31","0.01008","16.08","0.09817"
"19","num_clicks ~ uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + (1 | Subject)","7284.1","7326.9","83.8","0.6324","0.0002972","0.599","0.0009646","15.31","0.01008","16.08","0.09817"
"20","num_clicks ~ (uLSCsq + vLSCsq + uLSC:vLSC) + (uIntsq + vIntsq + uInt:vInt) + (uLSC + vLSC):(uInt + vInt) + (1 | Subject)","7274.7","7336.6","168.3","0.6356","0.0002249","0.5948","0.0007355","15.25","0.01331","16.15","0.1034"
"21","num_clicks ~ uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + (1 | Subject)","7200.4","7252.7","161.9","0.6659","0.0002035","0.6358","0.0005673","14.6","0.01103","15.3","0.1365"
"22","num_clicks ~ uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + (1 | Subject)","7127.2","7189.1","641.8","0.6927","8.884e-05","0.6637","0.0002407","14","0.04242","14.74","0.3665"
"23","num_clicks ~ uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + uLSC:uInt + vLSC:vInt + (1 | Subject)","7123.9","7195.3","533.5","0.6939","0.0001111","0.663","0.0003198","13.98","0.03817","14.76","0.3479"
"24","num_clicks ~ uLSC + vLSC + uInt + vInt + uLSCsq + uIntsq + vLSCsq + vIntsq + uLSC:vLSC + uInt:vInt + uLSC:uInt + vLSC:vInt + uLSC:vInt + uInt:vLSC + (1 | Subject)","7114.7","7195.5","547.4","0.6964","9.072e-05","0.6627","0.0001971","13.92","0.03655","14.76","0.2964"
