"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","num_clicks ~ 1 + (1 | Subject)","7486.6","7500.9","985.8","0.53","0.00047","0.5","0.0018","17","0.081","18","0.31"
"2","num_clicks ~ underlying_LSC + underlying_intricacy + (1 | Subject)","7487.8","7511.6","951.6","0.53","0.00045","0.5","0.0017","17","0.077","18","0.29"
"3","num_clicks ~ final_LSC + final_intricacy + (1 | Subject)","7486.9","7510.7","848","0.53","0.00048","0.5","0.0018","17","0.065","18","0.23"
"4","num_clicks ~ final_change_in_LSC + final_change_in_intricacy + (1 | Subject)","7486.6","7510.3","1046.1","0.53","0.00045","0.5","0.0017","17","0.088","18","0.33"
"5","num_clicks ~ underlying_LSC + underlying_intricacy + final_LSC + final_intricacy + (1 | Subject)","7487.4","7520.7","866.8","0.53","0.00047","0.5","0.0017","17","0.067","18","0.24"
"6","num_clicks ~ underlying_LSC_sq + underlying_intricacy_sq + final_LSC_sq + final_intricacy_sq + (1 | Subject)","7328.5","7361.8","117.5","0.61","0.00029","0.57","0.0011","16","0.011","17","0.088"
"7","num_clicks ~ underlying_LSC + underlying_intricacy + final_LSC + final_intricacy + (underlying_LSC + underlying_intricacy| Subject)","7449.7","7506.8","750.4","0.59","0.00011","0.51","0.0024","16","0.096","18","0.26"
"8","num_clicks ~ underlying_LSC + underlying_intricacy + final_LSC + final_intricacy + (final_LSC + final_intricacy| Subject)","7387.8","7444.9","1352.3","0.64","0.00084","0.48","0.012","15","0.28","18","3.1"
"9","num_clicks ~ avg_LSC + avg_intricacy + (1 | Subject)","7487.2","7511","932.3","0.53","0.00047","0.5","0.0018","17","0.074","18","0.29"
"10","num_clicks ~ underlying_LSC + underlying_intricacy + final_LSC + final_intricacy + final_change_in_LSC + final_change_in_intricacy + (1 | Subject)","7484","7526.8","798.6","0.53","0.00045","0.5","0.0016","17","0.062","18","0.2"
"11","num_clicks ~ underlying_LSC * underlying_intricacy + (1 | Subject)","7487.7","7516.2","992.4","0.53","0.00047","0.5","0.0018","17","0.081","18","0.3"
"12","num_clicks ~ final_LSC * final_intricacy + (1 | Subject)","7485.3","7513.8","735.1","0.53","0.00045","0.5","0.0017","17","0.054","18","0.19"
"13","num_clicks ~ underlying_LSC * final_LSC + (1 | Subject)","7300.8","7329.3","597.6","0.62","0.00013","0.59","0.00027","16","0.049","16","0.3"
"14","num_clicks ~ underlying_intricacy * final_intricacy + (1 | Subject)","7457.4","7485.9","956.7","0.55","0.00035","0.52","0.0012","17","0.078","18","0.27"
"15","num_clicks ~ underlying_LSC * final_LSC + underlying_intricacy * final_intricacy + (1 | Subject)","7268.3","7311.1","771.7","0.64","7.6e-05","0.6","0.00015","15","0.056","16","0.37"
"16","num_clicks ~ underlying_LSC_sq * underlying_intricacy_sq + final_LSC_sq * final_intricacy_sq + (1 | Subject)","7301.6","7344.4","240.5","0.62","0.00021","0.58","0.00071","16","0.018","16","0.075"
"17","num_clicks ~ underlying_LSC * final_LSC * underlying_intricacy * final_intricacy + (1 | Subject)","7133.2","7218.8","739.8","0.69","5.5e-05","0.65","0.00028","14","0.047","15","0.18"
"18","num_clicks ~ underlying_LSC * final_change_in_LSC + underlying_intricacy * final_change_in_intricacy + (1 | Subject)","7486.8","7529.6","964.2","0.53","0.00038","0.5","0.0014","17","0.082","18","0.28"
